mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
14	13	0	0	6/8	1	1	V						e	III		V	V							M	1	0	2, 6, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
14	13	1/4	1/4	6/8	1	1	iii6						e	III		iii6	iii		6					m	1	0	2, 6, 5		5	2	2	5	0.2857142857142857	0.1875	0.8125	0.1875
15	14	0	0	6/8	1	1	vi						e	III		vi	vi							m	1	0	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
15	14	1/4	1/4	6/8	1	1	vi6						e	III		vi6	vi		6					m	1	0	1, 5, 4		4	1	1	1	0.5	0.125	0.125	0.5
15	14	1/2	1/2	6/8	1	1	V65						e	III		V65	V		65					Mm7	1	0	6, 3, 0, 2		2	6	1	2	0.3333333333333333	0.125	0.375	0.25
16	15	0	0	6/8	1	1	I						e	III		I	I							M	1	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
16	15	1/4	1/4	6/8	1	1	V						e	III		V	V							M	1	0	2, 6, 3		2	2	1	4	0.2	0.0625	0.9375	0.0625
17	16	0	0	6/8	1	1	I|PAC}						e	III		I	I					PAC	}	M	1	0	1, 5, 2		1	1	6	8	0.42857142857142855	0.75	1.5	0.3333333333333333
18	17	0	0	6/8	1	1	V	0.456447	-4.09756		/		e	III		V	V							M	1	0	2, 6, 3		2	2	6	8	0.42857142857142855	0.75	1.5	0.3333333333333333
19	18	0	0	6/8	1	1	ii						e	III		ii	ii							m	1	0	3, 0, 4		3	3	6	8	0.42857142857142855	0.75	1.5	0.3333333333333333
20	19	0	0	6/8	1	1	i.i						e	i		i	i							m	1	1	4, 1, 5		4	4	6	8	0.42857142857142855	0.75	1.5	0.3333333333333333
21	20	0	0	6/8	1	1	v6						e	i		v6	v		6					m	1	1	2, 6, 5		5	2	1	6	0.14285714285714285	0.125	1.625	0.07142857142857142
21	20	1/2	1/2	6/8	1	1	iv6(2)	-0.912893	-4.85831		/		e	i		iv6(2)	iv		6	2				m	1	1	0, 4, 5		3	0	0	2	0.0	0.0	0.5	0.0
22	21	0	0	6/8	1	1	iv6						e	i		iv6	iv		6					m	1	1	0, 4, 3		3	0	1	3	0.25	0.125	0.625	0.16666666666666666
22	21	1/4	1/4	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.875	0.0
22	21	1/2	1/2	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
23	22	0	0	6/8	1	1	V|HC.SIM}	-1.374	-5.59911		/		e	i		V	V					HC.SIM	}	M	1	1	5, 9, 6		5	5	3	4	0.42857142857142855	0.25	1.25	0.16666666666666666
25	23	0	0	6/8	1	1	v						e	i		v	v							m	1	1	5, 2, 6		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
25	23	1/4	1/4	6/8	1	1	V65/v						e	i		V65/v	V		65		v			Mm7	1	1	10, 7, 4, 6		6	10	1	4	0.2	0.125	0.875	0.125
26	24	0	0	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	2	3	0.4	0.25	0.75	0.25
26	24	1/2	1/2	6/8	1	1	V65						e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	1	2	0.3333333333333333	0.125	0.375	0.25
27	25	0	0	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	1	4	0.2	0.125	0.875	0.125
27	25	1/2	1/2	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.5	0.0
28	26	0	0	6/8	1	1	i|PAC}						e	i		i	i					PAC	}	m	1	1	4, 1, 5		4	4	3	7	0.3	0.375	1.375	0.21428571428571427
29	27	0	0	6/8	1	1	VII.V						e	VII		V	V							M	1	0	3, 7, 4		3	3	5	5	0.5	0.625	0.875	0.4166666666666667
30	28	0	0	6/8	1	1	I6						e	VII		I6	I		6					M	1	0	6, 3, 2		2	6	8	8	0.5	1.0	1.0	0.5
31	29	1/4	1/4	6/8	1	1	V						e	VII		V	V							M	1	0	3, 7, 4		3	3	1	4	0.2	0.125	1.25	0.09090909090909091
32	30	0	0	6/8	1	1	I|PAC}						e	VII		I	I					PAC	}	M	1	0	2, 6, 3		2	2	0	5	0.0	0.0	1.125	0.0
32	30	1/8	1/8	6/8	1	1	III.V{	0	-2.74982		/		e	III		V	V						{	M	1	0	2, 6, 3		2	2	1	1	0.5	0.125	0.125	0.5
32	30	3/8	3/8	6/8	1	1	I64						e	III		I64	I		64					M	1	0	2, 1, 5		1	2	0	3	0.0	0.0	0.375	0.0
32	30	1/2	1/2	6/8	1	1	V2						e	III		V2	V		2					Mm7	1	0	0, 2, 6, 3		2	0	0	3	0.0	0.0	0.375	0.0
32	30	5/8	5/8	6/8	1	1	V65/ii	-0.304298	-5.01046		/		e	III		V65/ii	V		65		ii			Mm7	1	0	8, 5, 2, 4		4	8	0	3	0.0	0.0	0.375	0.0
33	31	0	0	6/8	1	1	ii						e	III		ii	ii							m	1	0	3, 0, 4		3	3	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
33	31	3/8	3/8	6/8	1	1	V2						e	III		V2	V		2					Mm7	1	0	0, 2, 6, 3		2	0	0	3	0.0	0.0	0.375	0.0
33	31	1/2	1/2	6/8	1	1	vi64	-1.29327	-4.93438		/		e	III		vi64	vi		64					m	1	0	5, 4, 1		4	5	0	3	0.0	0.0	0.375	0.0
33	31	5/8	5/8	6/8	1	1	V43	0.304298	-4.70616		/		e	III		V43	V		43					Mm7	1	0	3, 0, 2, 6		2	3	0	3	0.0	0.0	0.375	0.0
34	32	0	0	6/8	1	1	I|IAC}						e	III		I	I					IAC	}	M	1	0	1, 5, 2		1	1	1	4	0.2	0.125	0.75	0.14285714285714285
34	32	3/8	3/8	6/8	1	1	i.i64						e	i		i64	i		64					m	1	1	5, 4, 1		4	5	0	3	0.0	0.0	0.375	0.0
34	32	1/2	1/2	6/8	1	1	V2						e	i		V2	V		2					Mm7	1	1	3, 5, 9, 6		5	3	0	3	0.0	0.0	0.375	0.0
34	32	5/8	5/8	6/8	1	1	i6						e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	0.375	0.0
35	33	0	0	6/8	1	1	iio						e	i		iio	ii	o						o	1	1	6, 3, 0		6	6	2	5	0.2857142857142857	0.25	0.75	0.25
35	33	3/8	3/8	6/8	1	1	VII64						e	i		VII64	VII		64					M	1	1	3, 2, 6		2	3	0	3	0.0	0.0	0.375	0.0
35	33	1/2	1/2	6/8	1	1	V2/VII						e	i		V2/VII	V		2		VII			Mm7	1	1	1, 3, 7, 4		3	1	0	3	0.0	0.0	0.375	0.0
35	33	5/8	5/8	6/8	1	1	V43						e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	0	3	0.0	0.0	0.375	0.0
36	34	0	0	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
36	34	1/4	1/4	6/8	1	1	V65						e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	1	4	0.2	0.125	0.625	0.16666666666666666
36	34	1/2	1/2	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	2	3	0.4	0.25	0.5	0.3333333333333333
37	35	0	0	6/8	1	1	V|HC.SIM}						e	i		V	V					HC.SIM	}	M	1	1	5, 9, 6		5	5	3	7	0.3	0.375	1.375	0.21428571428571427
37	35	1/2	1/2	6/8	1	1	V7						e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.5	0.0
38	36	0	0	6/8	1	1	V/IV						e	i		V/IV	V				IV			M	1	1	4, 8, 5		4	4	3	7	0.3	0.375	1.375	0.21428571428571427
38	36	1/2	1/2	6/8	1	1	V7/IV						e	i		V7/IV	V		7		IV			Mm7	1	1	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
39	37	0	0	6/8	1	1	V/VII	-0.68467	-5.4669		/		e	i		V/VII	V				VII			M	1	1	3, 7, 4		3	3	3	7	0.3	0.375	1.375	0.21428571428571427
39	37	1/2	1/2	6/8	1	1	V7/VII	-1.21719	-2.88037		/		e	i		V7/VII	V		7		VII			Mm7	1	1	3, 7, 4, 1		3	3	0	4	0.0	0.0	0.5	0.0
40	38	0	0	6/8	1	1	V/III	0.228223	-4.85831		/		e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	3	7	0.3	0.375	1.375	0.21428571428571427
40	38	1/2	1/2	6/8	1	1	V7/III	-0.988968	-4.47794		/		e	i		V7/III	V		7		III			Mm7	1	1	2, 6, 3, 0		2	2	0	4	0.0	0.0	0.5	0.0
41	39	0	0	6/8	1	1	V/VI						e	i		V/VI	V				VI			M	1	1	1, 5, 2		1	1	3	7	0.3	0.375	1.375	0.21428571428571427
41	39	1/2	1/2	6/8	1	1	V7/VI						e	i		V7/VI	V		7		VI			Mm7	1	1	1, 5, 2, -1		1	1	0	4	0.0	0.0	0.5	0.0
42	40	0	0	6/8	1	1	iv.III						e	iv		III	III							M	1	1	0, 4, 1		0	0	2	3	0.4	0.25	0.5	0.3333333333333333
42	40	1/4	1/4	6/8	1	1	ii%65						e	iv		ii%65	ii	%	65					%7	1	1	2, -1, 3, 5		5	2	1	4	0.2	0.125	0.625	0.16666666666666666
42	40	1/2	1/2	6/8	1	1	V2/V						e	iv		V2/V	V		2		V			Mm7	1	1	3, 5, 9, 6		5	3	1	4	0.2	0.125	0.625	0.16666666666666666
43	41	0	0	6/8	1	1	V						e	iv		V	V							M	1	1	4, 8, 5		4	4	6	6	0.5	0.75	0.75	0.5
43	41	1/2	1/2	6/8	1	1	i	0	-3.2		/		e	iv		i	i							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	0.75	0.0
44	42	0	0	6/8	1	1	iv7(9)	-0.912893	-5.92335		/		e	iv		iv7(9)	iv		7	9				mm7	1	1	2, -1, 3, 0	4	2	2	0	5	0.0	0.0	0.75	0.0
44	42	1/4	1/4	6/8	1	1	V(4)	-0.228223	-5.92335		/		e	iv		V(4)	V			4				M	1	1	4, 3, 5		4	4	2	4	0.3333333333333333	0.25	1.0	0.2
44	42	1/2	1/2	6/8	1	1	V	-0.228223	-6.0755		/		e	iv		V	V							M	1	1	4, 8, 5		4	4	2	3	0.4	0.25	0.5	0.3333333333333333
45	43	0	0	6/8	1	1	i|PAC}	0	-5.99942		/		e	iv		i	i					PAC	}	m	1	1	3, 0, 4		3	3	2	10	0.16666666666666666	0.25	1.625	0.13333333333333333
45	43	1/2	1/2	6/8	1	1	V	0	-5.23868		/		e	iv		V	V							M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	0.5	0.0
45	43	5/8	5/8	6/8	1	1	V7	0.228223	-4.78223		/		e	iv		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	2	0.0	0.0	0.25	0.0
46	44	0	0	6/8	1	1	i						e	iv		i	i							m	1	1	3, 0, 4		3	3	2	3	0.4	0.25	0.5	0.3333333333333333
46	44	1/4	1/4	6/8	1	1	i.V/VII						e	i		V/VII	V				VII			M	1	1	3, 7, 4		3	3	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
47	45	0	0	6/8	1	1	VII						e	i		VII	VII							M	1	1	2, 6, 3		2	2	2	3	0.4	0.25	0.5	0.3333333333333333
47	45	1/4	1/4	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
48	46	0	0	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	6	8	0.42857142857142855	0.75	1.5	0.3333333333333333
49	47	0	0	6/8	1	1	V|HC.SIM}						e	i		V	V					HC.SIM	}	M	1	1	5, 9, 6		5	5	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
49	47	1/2	1/2	6/8	1	1	i65						e	i		i65	i		65					mm7	1	1	1, 5, 2, 4		4	1	0	3	0.0	0.0	0.5	0.0
50	48	0	0	6/8	1	1	iv7(9)						e	i		iv7(9)	iv		7	9				mm7	1	1	3, 0, 4, 1	5	3	3	0	5	0.0	0.0	1.0	0.0
50	48	1/2	1/2	6/8	1	1	iio						e	i		iio	ii	o						o	1	1	6, 3, 0		6	6	0	3	0.0	0.0	0.5	0.0
51	49	0	0	6/8	1	1	III+M7(9)						e	i		III+M7(9)	III	+M	7	9				+M7	1	1	1, 5, 9, 6	3	1	1	0	5	0.0	0.0	1.0	0.0
51	49	1/2	1/2	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
52	50	0	0	6/8	1	1	ii%7(9)						e	i		ii%7(9)	ii	%	7	9				%7	1	1	6, 3, 0, 4	1	6	6	0	5	0.0	0.0	1.0	0.0
52	50	1/2	1/2	6/8	1	1	#viio7						e	i		#viio7	#vii	o	7					o7	1	1	9, 6, 3, 0		9	9	0	3	0.0	0.0	0.5	0.0
53	51	0	0	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	1	4	0.2	0.125	0.875	0.125
53	51	1/2	1/2	6/8	1	1	V65/iv	-1.90186	-2.72822		/		e	i		V65/iv	V		65		iv			Mm7	1	1	8, 5, 2, 4		4	8	0	3	0.0	0.0	0.5	0.0
54	52	0	0	6/8	1	1	iv						e	i		iv	iv							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
54	52	1/4	1/4	6/8	1	1	i64						e	i		i64	i		64					m	1	1	5, 4, 1		4	5	1	2	0.3333333333333333	0.125	0.375	0.25
54	52	1/2	1/2	6/8	1	1	ii%43						e	i		ii%43	ii	%	43					%7	1	1	0, 4, 6, 3		6	0	0	3	0.0	0.0	0.5	0.0
55	53	0	0	6/8	1	1	i6|EC}						e	i		i6	i		6			EC	}	m	1	1	1, 5, 4		4	1	1	11	0.08333333333333333	0.125	3.0	0.04
56	54	0	0	6/8	1	1	IV7(9)						e	i		IV7(9)	IV		7	9				Mm7	1	1	3, 7, 4, 1	5	3	3	0	6	0.0	0.0	1.5	0.0
56	54	1/2	1/2	6/8	1	1	ii6						e	i		ii6	ii		6					m	1	1	3, 7, 6		6	3	0	4	0.0	0.0	0.625	0.0
57	55	0	0	6/8	1	1	V7						e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	6	0.0	0.0	1.5	0.0
57	55	1/2	1/2	6/8	1	1	III+6						e	i		III+6	III	+	6					+	1	1	5, 9, 1		1	5	0	4	0.0	0.0	0.625	0.0
58	56	0	0	6/8	1	1	#vi%7						e	i		#vi%7	#vi	%	7					%7	1	1	7, 4, 1, 5		7	7	5	7	0.4166666666666667	0.625	0.875	0.4166666666666667
59	57	0	0	6/8	1	1	V65						e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	6	6	0.5	0.75	0.75	0.5
60	58	0	0	6/8	1	1	V43						e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	23	21	0.5227272727272727	2.5	2.5	0.5
63	61	1/4	1/4	6/8	1	1	V65						e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
63	61	5/8	5/8	6/8	1	1	V7						e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
64	62	0	0	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	1	3	0.25	0.125	0.375	0.25
64	62	1/4	1/4	6/8	1	1	ii%43						e	i		ii%43	ii	%	43					%7	1	1	0, 4, 6, 3		6	0	2	2	0.5	0.25	0.25	0.5
64	62	1/2	1/2	6/8	1	1	ii%65						e	i		ii%65	ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	4	0.0	0.0	0.5	0.0
65	63	0	0	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	2	2	0.5	0.25	0.25	0.5
65	63	1/4	1/4	6/8	1	1	V6						e	i		V6	V		6					M	1	1	9, 6, 5		5	9	1	3	0.25	0.125	0.375	0.25
65	63	1/2	1/2	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
66	64	0	0	6/8	1	1	iv7(9)						e	i		iv7(9)	iv		7	9				mm7	1	1	3, 0, 4, 1	5	3	3	0	3	0.0	0.0	0.5	0.0
66	64	1/4	1/4	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	1	3	0.25	0.125	1.25	0.09090909090909091
67	65	0	0	6/8	1	1	i|PAC}	-0.608596	-3.70886		/	1	e	i		i	i					PAC	}	m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	1.5	0.0
68	65	0	0	6/8	1	1	i|PAC}	-0.228223	-7.29269		/	2	e	i		i	i					PAC	}	m	1	1	4, 1, 5		4	4	4	10	0.2857142857142857	0.5	1.25	0.2857142857142857
69	66	0	0	6/8	1	1	V43	0	-5.23868		/		e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	23	21	0.5227272727272727	2.5	2.5	0.5
72	69	1/4	1/4	6/8	1	1	V65						e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
72	69	5/8	5/8	6/8	1	1	V7						e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.25	0.0
73	70	0	0	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	1	3	0.25	0.125	0.375	0.25
73	70	1/4	1/4	6/8	1	1	ii%43						e	i		ii%43	ii	%	43					%7	1	1	0, 4, 6, 3		6	0	2	2	0.5	0.25	0.25	0.5
73	70	1/2	1/2	6/8	1	1	ii%65						e	i		ii%65	ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	4	0.0	0.0	0.5	0.0
74	71	0	0	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	3	5	0.375	0.375	0.625	0.375
74	71	1/2	1/2	6/8	1	1	i6						e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.5	0.0
75	72	0	0	6/8	1	1	V43						e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	0	2	0.0	0.0	0.25	0.0
75	72	1/8	1/8	6/8	1	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	0.25	0.0
75	72	1/4	1/4	6/8	1	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	1	4	0.2	0.125	1.25	0.09090909090909091
76	73	0	0	6/8	1	1	i|PAC}						e	i		i	i					PAC	}	m	1	1	4, 1, 5		4	4	0	6	0.0	0.0	1.875	0.0
