mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
24	22	133/2	0.5	1/2	1/2	6/8	1	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
24	22	67	0.5	5/8	5/8	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
25	23	135/2	1.5	0	0	6/8	1	1	V|HC}	a	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
25	23	69	0.5	3/8	3/8	6/8	1	1	i6{	a	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
25	23	139/2	2.5	1/2	1/2	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
26	24	72	0.5	3/8	3/8	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
26	24	145/2	0.5	1/2	1/2	6/8	1	1	V65	a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
26	24	73	0.5	5/8	5/8	6/8	1	1	V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
27	25	147/2	1.5	0	0	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
27	25	75	1.0	3/8	3/8	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
27	25	76	0.5	5/8	5/8	6/8	1	1	V65	a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
28	26	153/2	0.5	0	0	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
28	26	77	0.5	1/8	1/8	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
28	26	155/2	0.5	1/4	1/4	6/8	1	1	ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
28	26	78	0.5	3/8	3/8	6/8	1	1	V(64)	a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
28	26	157/2	0.5	1/2	1/2	6/8	1	1	ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
28	26	79	0.5	5/8	5/8	6/8	1	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
29	27	159/2	0.5	0	0	6/8	1	1	i|PAC}	a	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
29	27	80	0.5	1/8	1/8	6/8	1	1	iv64{	a	i		iv64	iv		64				{	m	1	1	0, -1, -4		-1	0
29	27	161/2	0.5	1/4	1/4	6/8	1	1	i2	a	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
29	27	81	1.0	3/8	3/8	6/8	1	1	ii%43	a	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
29	27	82	0.5	5/8	5/8	6/8	1	1	i64	a	i		i64	i		64					m	1	1	1, 0, -3		0	1
30	28	165/2	0.5	0	0	6/8	1	1	V2	a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
30	28	83	0.5	1/8	1/8	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
30	28	167/2	0.5	1/4	1/4	6/8	1	1	V43	a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
30	28	84	0.5	3/8	3/8	6/8	1	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
30	28	169/2	0.5	1/2	1/2	6/8	1	1	V43	a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
30	28	85	0.5	5/8	5/8	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
31	29	171/2	1.5	0	0	6/8	1	1	V65	a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
31	29	87	1.5	3/8	3/8	6/8	1	1	V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
32	30	177/2	1.5	0	0	6/8	1	1	V2	a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
32	30	90	0.5	3/8	3/8	6/8	1	1	V65(2)	a	i		V65(2)	V		65	2				Mm7	1	1	5, 2, -1, -4		1	5
32	30	181/2	0.5	1/2	1/2	6/8	1	1	V65	a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
32	30	91	0.5	5/8	5/8	6/8	1	1	V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
33	31	183/2	1.0	0	0	6/8	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
33	31	185/2	0.5	1/4	1/4	6/8	1	1	VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
33	31	93	0.5	3/8	3/8	6/8	1	1	ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
33	31	187/2	0.5	1/2	1/2	6/8	1	1	V(4)	a	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
33	31	94	0.5	5/8	5/8	6/8	1	1	V7	a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
34	32	189/2	1.5	0	0	6/8	1	1	i|PAC}	a	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
