mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
4	3	4	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	15									
4	3	9/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	16									
5	4	5	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	17	ornamentShortTrill								
5	4	11/2	0.0		1/8	1/8	StaffText	3/8	1	1	0							)							
5	4	11/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	18									
5	4	6	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	19									
5	4	5	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	20									
5	4	11/2	0.0		1/8	1/8	StaffText	3/8	2	1	0							)							
5	4	11/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	21									
5	4	6	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	22									
6	5	13/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	23									
6	5	15/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	24									
6	5	13/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
6	5	13/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	25									
6	5	7	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	26									
6	5	15/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	27									
7	6	8	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	28									
7	6	17/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	29									
7	6	9	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	30									
7	6	8	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
7	6	8	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	31									
7	6	17/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	32									
7	6	9	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	33									
8	7	19/2	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	34									
8	7	10	0.25		1/8	1/8	Chord	3/8	1	1	1/16			1/16	1	35									
8	7	41/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16			1/16	1	36									
8	7	21/2	0.25		1/4	1/4	Chord	3/8	1	1	1/16			1/16	1	37									
8	7	43/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	38									
8	7	19/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	6_			
8	7	19/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	39									
8	7	10	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	40									
8	7	21/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	41									
9	8	11	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	42	ornamentShortTrill								
9	8	11	1.0		0	0	Chord	3/8	2	1	1/4			1/4	1	43									
10	8	12	0.5		0	1/4	Chord	3/8	1	1	1/8			1/8	1	44									
10	8	12	0.0		0	1/4	StaffText	3/8	2	1	0							Reprise							
10	8	12	0.5		0	1/4	Chord	3/8	2	1	1/8			1/8	1	45									
11	9	25/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	46									
11	9	27/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	47									
11	9	25/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	5/_			
11	9	25/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	48									
11	9	13	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	49									
11	9	27/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	50									
12	10	14	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	51	ornamentShortTrill								
12	10	29/2	0.0		1/8	1/8	StaffText	3/8	1	1	0							)							
12	10	29/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	52									
12	10	15	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	53									
12	10	14	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	54									
12	10	29/2	0.0		1/8	1/8	StaffText	3/8	2	1	0							)							
12	10	29/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	55									
12	10	15	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	56									
13	11	31/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	57									
13	11	33/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	58									
13	11	31/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	5/_			
13	11	31/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	59	ornamentShortTrill								
13	11	16	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	60									
13	11	33/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	61									
14	12	17	0.25		0	0	Chord	3/8	1	1	1/16			1/16	1	62	ornamentShortTrill								
14	12	69/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16			1/16	1	63									
14	12	35/2	0.25		1/8	1/8	Chord	3/8	1	1	1/16			1/16	1	64									
14	12	71/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16			1/16	1	65									
14	12	18	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	66									
14	12	17	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
14	12	17	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	67									
14	12	35/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	68									
14	12	18	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	69									
15	13	37/2	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	70									
15	13	19	0.25		1/8	1/8	Chord	3/8	1	1	1/16			1/16	1	71									
15	13	77/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16			1/16	1	72									
15	13	39/2	0.25		1/4	1/4	Chord	3/8	1	1	1/16			1/16	1	73									
15	13	79/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	74									
15	13	37/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/8	6	5		
15	13	37/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	75									
15	13	19	0.0		1/8	1/8	FiguredBass	3/8	2	1	0										1/8	6	4		
15	13	19	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	76									
15	13	39/2	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	6	4	3	
15	13	39/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	77									
16	14	20	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	78	ornamentShortTrill								
16	14	41/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	79									
16	14	21	0.25		1/4	1/4	Chord	3/8	1	1	1/16			1/16	1	80									
16	14	85/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	81									
16	14	20	0.0		0	0	FiguredBass	3/8	2	1	0										1/4	#3_			
16	14	20	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	82									
16	14	41/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	83									
16	14	21	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	6_			
16	14	21	0.25		1/4	1/4	Chord	3/8	2	1	1/16			1/16	1	84									
16	14	85/4	0.25		5/16	5/16	Chord	3/8	2	1	1/16			1/16	1	85									
17	15	43/2	0.25		0	0	Chord	3/8	1	1	1/16			1/16	1	86									
17	15	87/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16			1/16	1	87									
17	15	22	0.75		1/8	1/8	Chord	3/8	1	1	3/16			1/8	3/2	88	ornamentShortTrill								
17	15	91/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	89									
17	15	43/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/8	6	4		
17	15	43/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	90									
17	15	22	0.0		1/8	1/8	FiguredBass	3/8	2	1	0										1/4	#3			
17	15	22	1.0		1/8	1/8	Chord	3/8	2	1	1/4			1/4	1	91									
18	16	23	0.0		0	0	StaffText	3/8	1	1	0							)							
18	16	23	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	92									
18	16	24	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	93									
18	16	23	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
18	16	23	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	94									
18	16	47/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	95									
18	16	24	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	96									
19	17	49/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	97									
19	17	51/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	98									
19	17	49/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/4	6_			
19	17	49/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	99									
19	17	25	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	100									
19	17	51/2	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	7			
19	17	51/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	101									
20	18	26	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	102									
20	18	53/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	103									
20	18	27	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	104									
20	18	26	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
20	18	26	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	105									
20	18	53/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	106									
20	18	27	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	107									
21	19	55/2	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	108									
21	19	28	0.25		1/8	1/8	Chord	3/8	1	1	1/16			1/16	1	109									
21	19	113/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16			1/16	1	110									
21	19	57/2	0.25		1/4	1/4	Chord	3/8	1	1	1/16			1/16	1	111									
21	19	115/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	112									
21	19	55/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	6_			
21	19	55/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	113									
21	19	28	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	114									
21	19	57/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	115									
22	20	29	0.0		0	0	Chord	3/8	1	1	0	appoggiatura		1/8	1	116									
22	20	29	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	117	ornamentMordent								
22	20	59/2	0.0		1/8	1/8	StaffText	3/8	1	1	0							)							
22	20	59/2	0.0		1/8	1/8	Chord	3/8	1	1	0	appoggiatura		1/8	1	118									
22	20	59/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	119									
22	20	30	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	120									
22	20	29	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
22	20	29	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	121									
22	20	59/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	122									
22	20	30	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	123									
23	21	61/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	124									
23	21	63/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	125									
23	21	61/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/4	5/_			
23	21	61/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	126									
23	21	31	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	127									
23	21	63/2	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	7			
23	21	63/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	128									
24	22	32	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	129									
24	22	65/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	130									
24	22	33	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	131									
24	22	32	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
24	22	32	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	132									
24	22	65/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	133									
24	22	33	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	134									
25	23	67/2	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	135									
25	23	34	0.25		1/8	1/8	Chord	3/8	1	1	1/16			1/16	1	136									
25	23	137/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16			1/16	1	137									
25	23	69/2	0.25		1/4	1/4	Chord	3/8	1	1	1/16			1/16	1	138									
25	23	139/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	139									
25	23	67/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/4	6	5_		
25	23	67/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	140									
25	23	34	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	141									
25	23	69/2	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/4	6	4	3_	
25	23	69/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	142									
26	24	35	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	143									
26	24	71/2	0.0		1/8	1/8	StaffText	3/8	1	1	0							)							
26	24	71/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	144	ornamentShortTrill								
26	24	36	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	145									
26	24	35	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	146									
26	24	71/2	0.0		1/8	1/8	StaffText	3/8	2	1	0							)							
26	24	71/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	147									
26	24	36	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	148									
27	25	73/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	149									
27	25	75/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	150									
27	25	73/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	7_			
27	25	73/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	151									
27	25	37	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	152									
27	25	75/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	153									
28	26	38	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	154	ornamentShortTrill								
28	26	77/2	0.0		1/8	1/8	StaffText	3/8	1	1	0							)							
28	26	77/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	155									
28	26	39	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	156									
28	26	38	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	157									
28	26	77/2	0.0		1/8	1/8	StaffText	3/8	2	1	0							)							
28	26	77/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	158									
28	26	39	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	159									
29	27	79/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	160									
29	27	81/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	161									
29	27	79/2	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
29	27	79/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	162									
29	27	40	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	163									
29	27	81/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	164									
30	28	41	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	165									
30	28	83/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	166									
30	28	42	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	167									
30	28	41	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
30	28	41	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	168									
30	28	83/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	169									
30	28	42	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	170									
31	29	85/2	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	171									
31	29	43	0.25		1/8	1/8	Chord	3/8	1	1	1/16			1/16	1	172									
31	29	173/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16			1/16	1	173									
31	29	87/2	0.25		1/4	1/4	Chord	3/8	1	1	1/16			1/16	1	174									
31	29	175/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	175									
31	29	85/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/8	6			
31	29	85/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	176									
31	29	43	0.0		1/8	1/8	FiguredBass	3/8	2	1	0										1/8	6			
31	29	43	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	177									
31	29	87/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	178									
32	30	44	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	179	ornamentShortTrill								
32	30	89/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	180									
32	30	45	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	181									
32	30	44	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	182									
32	30	89/2	0.0		1/8	1/8	FiguredBass	3/8	2	1	0										1/8	6	4	3	
32	30	89/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	183									
32	30	45	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	6	5		
32	30	45	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	184									
33	31	91/2	0.0		0	0	Chord	3/8	1	1	0	appoggiatura		1/8	1	185									
33	31	91/2	0.25		0	0	Chord	3/8	1	1	1/16			1/16	1	186	ornamentMordent								
33	31	183/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16			1/16	1	187									
33	31	46	0.75		1/8	1/8	Chord	3/8	1	1	3/16			1/8	3/2	188	ornamentShortTrill								
33	31	187/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	189									
33	31	91/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/8	6	4		
33	31	91/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	190									
33	31	46	0.0		1/8	1/8	FiguredBass	3/8	2	1	0										1/8	3_			
33	31	46	1.0		1/8	1/8	Chord	3/8	2	1	1/4			1/4	1	191									
33	31	93/2	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	7			
34	32		1.0	1	0	0	Chord	3/8	1	1	1/4			1/4	1	192									
34	32		0.5	1	0	0	Chord	3/8	2	1	1/8			1/8	1	193									
34	32		0.5	1	1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	194									
35	32	47	0.0	2	0	0	StaffText	3/8	1	1	0							)							
35	32	47	1.0	2	0	0	Chord	3/8	1	1	1/4			1/4	1	195									
35	32	48	0.5	2	1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	196									
35	32	47	0.0	2	0	0	StaffText	3/8	2	1	0							petite Reprise							
35	32	47	0.5	2	0	0	Chord	3/8	2	1	1/8			1/8	1	197									
35	32	95/2	0.0	2	1/8	1/8	FiguredBass	3/8	2	1	0										1/4	_			
35	32	95/2	0.5	2	1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	198									
35	32	48	0.5	2	1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	199									
36	33	97/2	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	200									
36	33	99/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	201									
36	33	97/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/4	6_			
36	33	97/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	202									
36	33	49	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	203									
36	33	99/2	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	7			
36	33	99/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	204									
37	34	50	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	205									
37	34	101/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	206									
37	34	51	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	207									
37	34	50	0.0		0	0	FiguredBass	3/8	2	1	0										3/8	_			
37	34	50	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	208									
37	34	101/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	209									
37	34	51	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	210									
38	35	103/2	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	211									
38	35	52	0.25		1/8	1/8	Chord	3/8	1	1	1/16			1/16	1	212									
38	35	209/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16			1/16	1	213									
38	35	105/2	0.25		1/4	1/4	Chord	3/8	1	1	1/16			1/16	1	214									
38	35	211/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	215									
38	35	103/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/8	6			
38	35	103/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	216									
38	35	52	0.0		1/8	1/8	FiguredBass	3/8	2	1	0										1/8	6			
38	35	52	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	217									
38	35	105/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	218									
39	36	53	0.5		0	0	Chord	3/8	1	1	1/8			1/8	1	219	ornamentShortTrill								
39	36	107/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	220									
39	36	54	0.5		1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	221									
39	36	53	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	222									
39	36	107/2	0.0		1/8	1/8	FiguredBass	3/8	2	1	0										1/8	6	4	3	
39	36	107/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	223									
39	36	54	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	6	5		
39	36	54	0.5		1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	224									
40	37	109/2	0.0		0	0	Chord	3/8	1	1	0	appoggiatura		1/8	1	225									
40	37	109/2	0.25		0	0	Chord	3/8	1	1	1/16			1/16	1	226	ornamentMordent								
40	37	219/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16			1/16	1	227									
40	37	55	0.75		1/8	1/8	Chord	3/8	1	1	3/16			1/8	3/2	228	ornamentShortTrill								
40	37	223/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16			1/16	1	229									
40	37	109/2	0.0		0	0	FiguredBass	3/8	2	1	0										1/8	6	4		
40	37	109/2	0.5		0	0	Chord	3/8	2	1	1/8			1/8	1	230									
40	37	55	0.0		1/8	1/8	FiguredBass	3/8	2	1	0										1/8	3_			
40	37	55	1.0		1/8	1/8	Chord	3/8	2	1	1/4			1/4	1	231									
40	37	111/2	0.0		1/4	1/4	FiguredBass	3/8	2	1	0										1/8	7			
41	38	56	1.0		0	0	Chord	3/8	1	1	1/4			1/4	1	232									
41	38	56	1.0		0	0	Chord	3/8	2	1	1/4			1/4	1	233									
