mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
13	12	69/2	1.0		0	0	Chord	6/8	1	1	1/4			1/4	1	101										7
13	12	71/2	1.5		1/4	1/4	Chord	6/8	1	1	3/8			1/4	3/2	102	ornamentShortTrill									7
13	12	37	0.25		5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	103										7
13	12	149/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	104										
13	12	69/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/8	6	5			
13	12	69/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	105										8
13	12	35	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	106										8
13	12	71/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	107										8
13	12	36	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	108										8
13	12	73/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	109										8
13	12	37	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	110										
14	13	75/2	1.0		0	0	Chord	6/8	1	1	1/4			1/4	1	111										9
14	13	77/2	1.5		1/4	1/4	Chord	6/8	1	1	3/8			1/4	3/2	112	ornamentShortTrill									9
14	13	40	0.25		5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	113										9
14	13	161/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	114										
14	13	75/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/8	5				
14	13	75/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	115										
14	13	38	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	116										
14	13	77/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/2	6_				
14	13	77/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	117										
14	13	39	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	118										
14	13	79/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	119										
14	13	40	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	120										
15	14	81/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	121										
15	14	41	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	122										
15	14	83/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	123										
15	14	42	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	124										
15	14	85/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	125										
15	14	43	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	126										
15	14	81/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/4	5				
15	14	81/2	2.0		0	0	Chord	6/8	2	1	1/2			1/2	1	127										
15	14	83/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/4	6				
15	14	85/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/4	5/				
15	14	85/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	128										
16	15	87/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	129										
16	15	44	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	130										
16	15	89/2	1.5		1/4	1/4	Chord	6/8	1	1	3/8			1/4	3/2	131	ornamentShortTrill									10
16	15	46	0.25		5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	132										10
16	15	185/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	133										
16	15	87/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	134										
16	15	89/2	1.0		1/4	1/4	Chord	6/8	2	1	1/4			1/4	1	135										
16	15	91/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	136										
17	16	93/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	137										
17	16	47	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	138										
17	16	95/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	139										
17	16	48	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	140										
17	16	97/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	141										
17	16	49	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	142										
17	16	93/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	143										
17	16	47	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	144										
17	16	95/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	145										
17	16	48	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	146										
17	16	97/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	147										
17	16	49	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	148										
17	16	93/2	2.0		0	0	Chord	6/8	2	2	1/2			1/2	1	149										
17	16	97/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	150										
18	17	99/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	151	ornamentShortTrill									
18	17	50	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	152										
18	17	101/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	153										
18	17	51	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	154										
18	17	103/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	155										
18	17	52	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	156										
18	17	99/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	157	ornamentShortTrill									
18	17	50	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	158										
18	17	101/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	159										
18	17	51	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	160										
18	17	103/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	161										
18	17	52	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	162										
18	17	99/2	2.0		0	0	Chord	6/8	2	2	1/2			1/2	1	163										
18	17	103/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	164										
19	18	105/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	165										
19	18	53	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	166										
19	18	107/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	167										
19	18	54	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	168										
19	18	109/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	169										
19	18	55	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	170										
19	18	105/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	171										
19	18	53	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	172										
19	18	107/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	173										
19	18	54	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	174										
19	18	109/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	175										
19	18	55	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	176										
19	18	105/2	2.0		0	0	Chord	6/8	2	2	1/2			1/2	1	177										
19	18	109/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	178										
20	19	111/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	179	ornamentShortTrill									
20	19	56	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	180										
20	19	113/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	181										
20	19	57	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	182										
20	19	115/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	183										
20	19	58	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	184										
20	19	111/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	185										
20	19	56	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	186										
20	19	113/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	187										
20	19	57	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	188										
20	19	115/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	189										
20	19	58	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	190										
20	19	111/2	2.0		0	0	Chord	6/8	2	2	1/2			1/2	1	191										
20	19	115/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	192										
21	20	117/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	193										11
21	20	59	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	194										
21	20	119/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	195										12
21	20	60	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	196										
21	20	121/2	0.0		1/2	1/2	StaffText	6/8	1	1	0															
21	20	121/2	1.0		1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	197	ornamentMordent									
21	20	117/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/4	6				
21	20	117/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	198	ornamentShortTrill									
21	20	119/2	2.0		1/4	1/4	Chord	6/8	2	1	1/2			1/2	1	199										
21	20	121/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/4	7				
21	20	117/2	2.0		0	0	Chord	6/8	2	2	1/2			1/2	1	200										
21	20	121/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	201										
22	21	123/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	202										
22	21	62	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	203										
22	21	125/2	1.0		1/4	1/4	Chord	6/8	1	1	1/4			1/4	1	204	ornamentShortTrill									
22	21	64	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	205										
22	21	123/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/4	6				
22	21	123/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	206	ornamentTurn									
22	21	125/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/4	#3				
22	21	125/2	1.5		1/4	1/4	Chord	6/8	2	1	3/8			1/4	3/2	207										
22	21	64	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	208										
22	21	123/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	209										
22	21	125/2	1.0		1/4	1/4	Chord	6/8	2	2	1/4			1/4	1	210										
22	21	127/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	211										
23	22	129/2	0.0		0	0	Chord	6/8	1	1	0	appoggiatura		1/8	1	212										
23	22	129/2	1.5		0	0	Chord	6/8	1	1	3/8			1/4	3/2	213	ornamentMordent									
23	22	129/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/8	#3				
23	22	129/2	1.5		0	0	Chord	6/8	2	1	3/8			1/4	3/2	214	ornamentShortTrill									
23	22	129/2	1.5		0	0	Chord	6/8	2	2	3/8			1/4	3/2	215										
24	22	66	0.0		0	3/8	StaffText	6/8	1	1	0							"<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/>Reprise"								
24	22	66	0.5		0	3/8	Chord	6/8	1	1	1/8			1/8	1	216										
24	22	133/2	0.5		1/8	1/2	Chord	6/8	1	1	1/8			1/8	1	217										
24	22	67	0.5		1/4	5/8	Chord	6/8	1	1	1/8			1/8	1	218										
25	23	135/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	219										
25	23	68	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	220										
25	23	137/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	221										
25	23	69	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	222										
25	23	139/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	223										
25	23	70	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	224										
25	23	135/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/4	b3				
25	23	135/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	225										
25	23	137/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/2	5/				
25	23	137/2	2.0		1/4	1/4	Chord	6/8	2	1	1/2			1/2	1	226										
26	24	141/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	227										
26	24	71	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	228										
26	24	143/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	229										
26	24	72	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	230										
26	24	145/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	231										
26	24	73	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	232										
26	24	141/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/2	b3				
26	24	141/2	2.0		0	0	Chord	6/8	2	1	1/2			1/2	1	233										
26	24	145/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/4	5/				
26	24	145/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	234										
27	25	147/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	235										
27	25	74	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	236										
27	25	149/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	237										
27	25	75	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	238										
27	25	151/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	239										
27	25	76	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	240										
27	25	147/2	2.0		0	0	Chord	6/8	2	1	1/2			1/2	1	241										
27	25	151/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/4	#3				
27	25	151/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	242										
28	26	153/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	243										
28	26	77	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	244										
28	26	155/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	245										
28	26	78	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	246										
28	26	157/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	247										
28	26	79	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	248										
28	26	153/2	2.0		0	0	Chord	6/8	2	1	1/2			1/2	1	249										
28	26	157/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	250										
29	27	159/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	251										
29	27	80	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	252										
29	27	161/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	253										
29	27	81	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	254										
29	27	163/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	255										
29	27	82	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	256										
29	27	159/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/8	#3				
29	27	159/2	1.5		0	0	Chord	6/8	2	1	3/8			1/4	3/2	257										13
29	27	81	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	258										13
29	27	163/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	259										13
29	27	82	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	260										
30	28	165/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	261										
30	28	83	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	262										
30	28	167/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	263										
30	28	84	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	264										
30	28	169/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	265										
30	28	85	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	266										
30	28	165/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/8	6				
30	28	165/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	267										
30	28	83	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	268										
30	28	167/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	269										
30	28	84	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	270										
30	28	169/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	271										
30	28	85	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	272										
31	29	171/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	273										
31	29	86	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	274										
31	29	173/2	1.5		1/4	1/4	Chord	6/8	1	1	3/8			1/4	3/2	275	ornamentShortTrill									
31	29	88	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	276										
31	29	171/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/8	6				
