mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine
22	19	115/2	115/2	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	127	articMarcatoAbove							9	
22	19	233/4	233/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	128								9	
22	19	467/8	467/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	129									
22	19	111/2	111/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	130									
22	19	56	56	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	131									
22	19	113/2	113/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	132									
22	19	57	57	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	133									
22	19	115/2	115/2	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	134	articMarcatoAbove								
23	20	117/2	117/2	0.0	0	0	Chord	6/8	1	1	0	appoggiatura	1/8	1	135									
23	20	117/2	117/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	136	ornamentShortTrill								
23	20	117/2	117/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	137									
24	20	60	60	0.0	0	3/8	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Reprise"							
24	20	60	60	1.0	0	3/8	Chord	6/8	1	1	1/4		1/4	1	138								10	
24	20	61	61	0.5	1/4	5/8	Chord	6/8	1	1	1/8		1/8	1	139	ornamentShortTrill								
24	20	60	60	1.0	0	3/8	Chord	6/8	2	1	1/4		1/4	1	140									
25	21	123/2	123/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	141	articMarcatoAbove								
25	21	125/2	125/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	142									
25	21	63	63	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	143	ornamentShortTrill								
25	21	64	64	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	144									
25	21	123/2	123/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	145									
25	21	63	63	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	146									
26	22	129/2	129/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	147	articMarcatoAbove							11	
26	22	131/2	131/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	148									
26	22	66	66	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	149	articMarcatoAbove								
26	22	67	67	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	150	ornamentTurn								
26	22	129/2	129/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	151									
26	22	131/2	131/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	152									
26	22	66	66	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	153									
27	23	135/2	135/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	154									
27	23	68	68	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	155									
27	23	137/2	137/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	156									
27	23	69	69	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	157								12	
27	23	139/2	139/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	158	articMarcatoAbove								
27	23	70	70	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	159									
27	23	135/2	135/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	160									
27	23	69	69	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	161									
27	23	139/2	139/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	162									
27	23	70	70	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	163									
28	24	141/2	141/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	164	articMarcatoAbove								
28	24	72	72	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	165								13	
28	24	73	73	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	166	ornamentShortTrill								
28	24	141/2	141/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	167									
28	24	71	71	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	168									
28	24	285/4	285/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	169									
28	24	143/2	143/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	170									
28	24	287/4	287/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	171									
28	24	72	72	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	172									
29	25	147/2	147/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	173									
29	25	149/2	149/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	174									
29	25	75	75	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	175									
29	25	76	76	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	176									
29	25	147/2	147/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	177									
29	25	75	75	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	178									
30	26	153/2	153/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	179	articMarcatoAbove								
30	26	155/2	155/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	180									
30	26	78	78	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	181									
30	26	157/2	157/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	182									
30	26	79	79	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	183									
30	26	153/2	153/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	184									
30	26	78	78	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	185									
31	27	159/2	159/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	186								14	
31	27	80	80	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	187	articMarcatoAbove							14	
31	27	161/2	161/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	188									
31	27	81	81	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	189	articMarcatoAbove								
31	27	163/2	163/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	190									
31	27	82	82	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	191									
31	27	159/2	159/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	192									
31	27	80	80	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	193									
31	27	161/2	161/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	194									
31	27	81	81	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	195									
32	28	165/2	165/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	196									
32	28	165/2	165/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	197									
