mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
13	12	33	36	0.0		0	0	StaffText	3/4	2	1	0					Reprise										
14	13	36	39	0.0		0	0	StaffText	3/4	1	1	0					)										
14	13	36	39	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	90	ornamentShortTrill											
14	13	36	39	0.0		0	0	FiguredBass	3/4	2	1	0											3/4	_			
14	13	36	39	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	91												
14	13	73/2	79/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	92												
14	13	37	40	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	93												
14	13	75/2	81/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	94												
14	13	38	41	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	95												
14	13	77/2	83/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	96												
15	14	39	42	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	97												
15	14	79/2	85/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	98												
15	14	40	43	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	99												
15	14	81/2	87/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	100												
15	14	41	44	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	101												
15	14	83/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	102												
15	14	39	42	0.0		0	0	FiguredBass	3/4	2	1	0											1/2	6			
15	14	39	42	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	103												
15	14	41	44	0.0		1/2	1/2	FiguredBass	3/4	2	1	0											1/4	5/			
15	14	41	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	104												
16	15	42	45	0.0		0	0	StaffText	3/4	1	1	0					)										
16	15	42	45	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	105	ornamentShortTrill											
16	15	44	47	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	106												
16	15	42	45	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	107												
16	15	85/2	91/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	108												
16	15	43	46	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	109												
16	15	87/2	93/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	110												
16	15	44	47	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	111												
17	16	45	48	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	112	ornamentShortTrill											
17	16	93/2	99/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	113												
17	16	47	50	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	114												
17	16	45	48	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	115												
17	16	91/2	97/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	116												
17	16	46	49	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	117												
17	16	93/2	99/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	118												
17	16	47	50	0.0		1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6	5		
17	16	47	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	119												
18	17	48	51	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	120	ornamentShortTrill											
18	17	49	52	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	121												
18	17	50	53	1.5		1/2	1/2	Chord	3/4	1	1	3/8	1/4	3/2	122	ornamentMordent											
18	17	103/2	109/2	0.5		7/8	7/8	Chord	3/4	1	1	1/8	1/8	1	123												
18	17	52	55	1.5		1	1	Chord	3/4	1	1	3/8	1/4	3/2	124												
18	17	107/2	113/2	0.5		11/8	11/8	Chord	3/4	1	1	1/8	1/8	1	125												
18	17	48	51	0.0		0	0	FiguredBass	3/4	2	1	0											1/2	#3			
18	17	48	51	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	126												
18	17	50	53	2.0		1/2	1/2	Chord	3/4	2	1	1/2	1/2	1	127												
18	17	52	55	0.0		1	1	FiguredBass	3/4	2	1	0											1/4	#3_			
18	17	52	55	2.0		1	1	Chord	3/4	2	1	1/2	1/2	1	128												
18	17	53	56	0.0		5/4	5/4	FiguredBass	3/4	2	1	0											1/4	7			
19	18	54	57	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	129												
19	18	109/2	115/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	130												
19	18	55	58	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	131												
19	18	111/2	117/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	132												
19	18	56	59	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	133												
19	18	113/2	119/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	134												
19	18	54	57	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	135												
20	19	57	60	0.0		0	0	StaffText	3/4	1	1	0					)										
20	19	57	60	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	136	ornamentShortTrill											
20	19	57	60	0.0		0	0	FiguredBass	3/4	2	1	0											3/4	#3_			
20	19	57	60	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	137												
20	19	115/2	121/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	138												
20	19	58	61	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	139												
20	19	117/2	123/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	140												
20	19	59	62	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	141												
20	19	119/2	125/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	142												
21	20	60	63	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	143												
21	20	121/2	127/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	144												
21	20	61	64	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	145												
21	20	123/2	129/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	146												
21	20	62	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	147												
21	20	125/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	148												
21	20	60	63	0.0		0	0	FiguredBass	3/4	2	1	0											3/4	6			
21	20	60	63	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	149	ornamentShortTrill											
22	21	63	66	0.0		0	0	StaffText	3/4	1	1	0					)										
22	21	63	66	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	150	ornamentShortTrill											
22	21	63	66	0.0		0	0	FiguredBass	3/4	2	1	0											3/4	_			
22	21	63	66	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	151												
22	21	127/2	133/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	152												
22	21	64	67	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	153												
22	21	129/2	135/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	154												
22	21	65	68	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	155												
22	21	131/2	137/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	156												
23	22	66	69	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	157												
23	22	133/2	139/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	158												
23	22	67	70	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	159												
23	22	135/2	141/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	160												
23	22	68	71	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	161												
23	22	137/2	143/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	162												
23	22	66	69	0.0		0	0	FiguredBass	3/4	2	1	0											3/4	6_			
23	22	66	69	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	163												
23	22	133/2	139/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	164												
23	22	67	70	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	165												
23	22	135/2	141/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	166												
23	22	68	71	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	167												
23	22	137/2	143/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	168												
24	23	69	72	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	169	ornamentShortTrill											
24	23	139/2	145/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	170												
24	23	70	73	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	171												
24	23	141/2	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	172												
24	23	71	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	173												
24	23	143/2	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	174												
24	23	69	72	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	175												
25	24	72	75	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	176												
25	24	145/2	151/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	177												
25	24	73	76	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	178												
25	24	147/2	153/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	179												
25	24	74	77	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	180												
25	24	149/2	155/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	181												
25	24	72	75	0.0		0	0	FiguredBass	3/4	2	1	0											1/2	6			
25	24	72	75	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	182												
26	25	75	78	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	183												
26	25	151/2	157/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	184												
26	25	76	79	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	185												
26	25	153/2	159/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	186												
26	25	77	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	187												
26	25	155/2	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	188												
26	25	75	78	0.0		0	0	FiguredBass	3/4	2	1	0											1/2	#6			
26	25	75	78	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	189												
27	26	78	81	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	190												
27	26	157/2	163/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	191												
27	26	79	82	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	192												
27	26	159/2	165/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	193												
27	26	80	83	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	194												
27	26	161/2	167/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	195												
27	26	78	81	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	196												
28	27	81	84	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	197												
28	27	163/2	169/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	198												
28	27	82	85	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	199												
28	27	165/2	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	200												
28	27	83	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	201												
28	27	167/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	202												
28	27	81	84	0.0		0	0	FiguredBass	3/4	2	1	0											3/4	6			
28	27	81	84	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	203												
29	28	84	87	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	204												
29	28	169/2	175/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	205												
29	28	85	88	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	206												
29	28	171/2	177/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	207												
29	28	86	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	208												
29	28	173/2	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	209												
29	28	87	90	0.5		3/4	3/4	Chord	3/4	1	1	1/8	1/8	1	210												
29	28	175/2	181/2	0.5		7/8	7/8	Chord	3/4	1	1	1/8	1/8	1	211												
29	28	88	91	1.5		1	1	Chord	3/4	1	1	3/8	1/4	3/2	212	ornamentShortTrill											
29	28	179/2	185/2	0.5		11/8	11/8	Chord	3/4	1	1	1/8	1/8	1	213												
29	28	84	87	0.0		0	0	FiguredBass	3/4	2	1	0											1/2	6	5_		
29	28	84	87	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	214												
29	28	169/2	175/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	215												
29	28	85	88	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	216												
29	28	171/2	177/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	217												
29	28	86	89	0.0		1/2	1/2	FiguredBass	3/4	2	1	0											3/8	6	4	3_	
29	28	86	89	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	218												
29	28	173/2	179/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	219												
29	28	87	90	0.5		3/4	3/4	Chord	3/4	2	1	1/8	1/8	1	220												
29	28	175/2	181/2	0.0		7/8	7/8	FiguredBass	3/4	2	1	0											1/8	6	5		
29	28	175/2	181/2	0.5		7/8	7/8	Chord	3/4	2	1	1/8	1/8	1	221												
29	28	88	91	0.0		1	1	FiguredBass	3/4	2	1	0											1/2	3_			
29	28	88	91	1.0		1	1	Chord	3/4	2	1	1/4	1/4	1	222												
29	28	89	92	0.0		5/4	5/4	FiguredBass	3/4	2	1	0											1/4	7			
29	28	89	92	1.0		5/4	5/4	Chord	3/4	2	1	1/4	1/4	1	223												
30	29	90	93	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	224												
30	29	90	93	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	225												
