mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
13	11	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100											
14	12	37	37	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	101											1
14	12	151/4	151/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	102											
14	12	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	103											
14	12	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	104											
14	12	37	37	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	6			
14	12	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105	ornamentShortTrill										
14	12	39	39	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6	4	3	
14	12	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106											
15	13	40	40	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	107											
15	13	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	108											
15	13	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	109	ornamentMordent										
15	13	40	40	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	7			
15	13	40	40	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	110											
15	13	41	41	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	6			
15	13	42	42	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	5/			
15	13	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111											
16	14	43	43	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	112											
16	14	44	44	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	113	ornamentShortTrill										
16	14	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	114											
16	14	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115											
16	14	44	44	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	6	5		
16	14	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116											
16	14	45	45	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6	4	3	
16	14	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	117											
17	15	46	46	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	118	ornamentShortTrill										
17	15	47	47	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	119											
17	15	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	120											
17	15	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	121	ornamentMordent										
17	15	46	46	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	#3			
17	15	46	46	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	122											
17	15	48	48	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6	#3		
17	15	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	123											
17	15	46	46	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	124											
17	15	47	47	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	125											
18	16	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	126	ornamentShortTrill										
18	16	50	50	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	127											
18	16	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	128											
18	16	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	129											
18	16	49	49	0.0	0	0	FiguredBass	3/4	2	1	0											1/2	5_			
18	16	49	49	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	130											
18	16	101/2	101/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	131											
18	16	51	51	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/8	6	5		
18	16	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	132											
18	16	103/2	103/2	0.0	5/8	5/8	FiguredBass	3/4	2	1	0											1/8	6	4	3	
18	16	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	133											
19	17	52	52	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	134											
19	17	52	52	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	135	ornamentMordent										
19	17	53	53	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	136											
19	17	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	137											
19	17	54	54	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	138											
19	17	219/4	219/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	139											
19	17	52	52	0.0	0	0	FiguredBass	3/4	2	1	0											1/2	#3_			
19	17	52	52	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	140											
19	17	105/2	105/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	141											
19	17	53	53	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	142	ornamentShortTrill										
19	17	107/2	107/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	143											
19	17	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144											
20	18	55	55	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	145	ornamentShortTrill										
20	18	223/4	223/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	146											
20	18	56	56	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	147	ornamentShortTrill										
20	18	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	148											
20	18	55	55	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	6	5		
20	18	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149											
20	18	56	56	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	5	4		
20	18	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150											
20	18	57	57	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	#3			
20	18	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151											
21	19	58	58	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	152	ornamentShortTrill										
21	19	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	153											
21	19	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	154											
21	19	59	59	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	155											
21	19	119/2	119/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	156											
21	19	60	60	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6			
21	19	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	157											
22	20	61	61	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	158											
22	20	123/2	123/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	159											
22	20	62	62	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	160											
22	20	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	161											
22	20	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	162	ornamentShortTrill										
22	20	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	163											
22	20	61	61	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	3			
22	20	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	164											
22	20	62	62	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	3			
22	20	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165											
22	20	63	63	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6			
22	20	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166											
23	21	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	167											
23	21	129/2	129/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	168											
23	21	65	65	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	169											
23	21	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	170											
23	21	66	66	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	171	ornamentShortTrill										
23	21	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	172											
23	21	64	64	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	7			
23	21	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	173											
23	21	65	65	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	3			
23	21	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	174											
23	21	66	66	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6			
23	21	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	175											
24	22	67	67	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	176											2
24	22	271/4	271/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	177											
24	22	68	68	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	178											3
24	22	275/4	275/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	179											
24	22	69	69	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	180											
24	22	279/4	279/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	181											
24	22	67	67	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	7			
24	22	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	182											
24	22	68	68	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/2	7_			
24	22	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	183											
24	22	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	184											
25	23	70	70	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	185	ornamentShortTrill										
25	23	71	71	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	186											
25	23	71	71	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	187											
25	23	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	188											
25	23	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	189											
25	23	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	190											
25	23	72	72	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6			
25	23	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	191											
26	24	73	73	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	192											4
26	24	295/4	295/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	193											
26	24	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	194											
26	24	75	75	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	195											
26	24	73	73	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	7	5/		
26	24	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	196	ornamentShortTrill										
26	24	75	75	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6	4+	3	
26	24	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	197											
27	25	76	76	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	198											
27	25	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	199											
27	25	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	200	ornamentMordent										
27	25	76	76	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	7			
27	25	76	76	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	201	ornamentShortTrill										
27	25	77	77	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	6			
27	25	78	78	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	5/			
27	25	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	202											
28	26	79	79	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	203											
28	26	80	80	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	204	ornamentShortTrill										
28	26	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	205											
28	26	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	206											
28	26	80	80	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	6	5		
28	26	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	207											
28	26	81	81	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6	4	3	
28	26	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	208											
29	27	82	82	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	209	ornamentMordent										
29	27	83	83	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	210	ornamentShortTrill										
29	27	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	211											
29	27	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	212											
29	27	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	213											
30	28	85	85	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	214											
30	28	171/2	171/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	215											
30	28	86	86	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	216											
30	28	173/2	173/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	217											
30	28	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	218	ornamentShortTrill										
30	28	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	219											
30	28	85	85	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	5	4		
30	28	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	220											
30	28	86	86	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	#3_			
30	28	87	87	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	7			
30	28	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221											
31	29	88	88	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	222											
31	29	177/2	177/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	223											
31	29	89	89	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	224											
31	29	179/2	179/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	225											
31	29	90	90	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	226	ornamentShortTrill										
31	29	181/2	181/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	227											
31	29	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	228											
31	29	90	90	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6			
31	29	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	229											
32	30	91	91	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	230											
32	30	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	231											
32	30	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	232											
32	30	185/2	185/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	233											
32	30	93	93	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	234	ornamentShortTrill										
32	30	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	235											
32	30	91	91	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	5			
32	30	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	236	ornamentMordent										
32	30	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	237											
33	31	94	94	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	238											
33	31	189/2	189/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	239											
33	31	95	95	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	240											
33	31	191/2	191/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	241											
33	31	96	96	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	242	ornamentShortTrill										
33	31	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	243											
