mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
6	5	19	19	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16after	1/16	1	75										
6	5	19	19	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16after	1/16	1	76										
6	5	19	19	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16after	1/16	1	77										
6	5	19	19	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16after	1/16	1	78										
6	5	19	19	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	79	ornamentMordent									
6	5	20	20	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	80										5
6	5	83/4	83/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	81										5
6	5	167/8	167/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	82										
6	5	21	21	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	83										
6	5	21	21	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	84	ornamentMordent									
6	5	87/4	87/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	85										
6	5	18	18	0.0	0	0	FiguredBass	4/4	2	1	0									1/4	7	#5	3	2	
6	5	18	18	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	86										
6	5	19	19	0.0	1/4	1/4	FiguredBass	4/4	2	1	0									1/4	6				
6	5	19	19	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	87	ornamentMordent									
6	5	39/2	39/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	88										
6	5	20	20	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/4	6_	5	b3		
6	5	20	20	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	89										
6	5	41/2	41/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	90										
6	5	21	21	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/8	#6	4			
6	5	21	21	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	91										
6	5	43/2	43/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0									1/8	7	#3			
6	5	43/2	43/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	92										
7	6	22	22	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	93	ornamentShortTrill									
7	6	45/2	45/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	94										
7	6	23	23	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	95										
7	6	47/2	47/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	96										
7	6	24	24	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	97										
7	6	49/2	49/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	98										
7	6	25	25	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	99	ornamentShortTrill									
7	6	51/2	51/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	100										
7	6	22	22	0.0	0	0	FiguredBass	4/4	2	1	0									1/4	#3				
7	6	22	22	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	101										
7	6	47/2	47/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0									1/8	6	4			
7	6	47/2	47/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	102										
7	6	24	24	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/8	4+				
7	6	24	24	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	103										
7	6	49/2	49/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0									1/8	6				
7	6	49/2	49/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	104										
7	6	25	25	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/8	#6				
7	6	25	25	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	105										
7	6	51/2	51/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0									1/8	6				
7	6	51/2	51/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	106										
8	7	26	26	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	107	ornamentMordent									
8	7	53/2	53/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	108										
8	7	53/2	53/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	109										
8	7	27	27	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	110										6
8	7	27	27	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	111	ornamentMordent									6
8	7	111/4	111/4	0.08333333333333333	7/16	7/16	Chord	4/4	1	1	1/48		1/32	2/3	112										6
8	7	167/6	167/6	0.08333333333333333	11/24	11/24	Chord	4/4	1	1	1/48		1/32	2/3	113										6
8	7	335/12	335/12	0.08333333333333333	23/48	23/48	Chord	4/4	1	1	1/48		1/32	2/3	114										
8	7	28	28	0.0	1/2	1/2	Chord	4/4	1	1	0	grace8after	1/8	1	115										
8	7	28	28	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	116										
8	7	28	28	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	117	ornamentMordent									
8	7	29	29	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	118	ornamentShortTrill									
8	7	119/4	119/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	119										
8	7	26	26	0.0	0	0	FiguredBass	4/4	2	1	0									1/4	4+_				
8	7	26	26	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	120										
8	7	53/2	53/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	121										
8	7	27	27	0.0	1/4	1/4	FiguredBass	4/4	2	1	0									1/8	6				
8	7	27	27	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	122										
8	7	55/2	55/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0									1/16	6	5			
8	7	55/2	55/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	123										
8	7	28	28	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/4	6_	4			
8	7	28	28	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	124										
8	7	57/2	57/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	125										
8	7	29	29	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/8	#3_				
8	7	29	29	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	126										
8	7	59/2	59/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0									1/8	7				
9	8	30	30	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	127										
9	8	65/2	65/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	128										
9	8	33	33	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	129										7
9	8	135/4	135/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	130										7
9	8	271/8	271/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	131										
9	8	30	30	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	132										
9	8	61/2	61/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	133										
9	8	31	31	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	134	ornamentMordent									
9	8	63/2	63/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	135										
9	8	32	32	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/2	6				
9	8	32	32	0.0	1/2	1/2	Chord	4/4	2	1	0	appoggiatura	1/8	1	136										
9	8	32	32	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	137	ornamentMordent									
10	9	34	34	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	138	ornamentShortTrill									
10	9	69/2	69/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	139										
10	9	69/2	69/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	140										
10	9	35	35	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	141	ornamentMordent									
10	9	36	36	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	142										8
10	9	147/4	147/4	0.08333333333333333	11/16	11/16	Chord	4/4	1	1	1/48		1/32	2/3	143										8
10	9	221/6	221/6	0.08333333333333333	17/24	17/24	Chord	4/4	1	1	1/48		1/32	2/3	144										8
10	9	443/12	443/12	0.08333333333333333	35/48	35/48	Chord	4/4	1	1	1/48		1/32	2/3	145										
10	9	37	37	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	146	ornamentShortTrill									
10	9	151/4	151/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	147										
10	9	34	34	0.0	0	0	FiguredBass	4/4	2	1	0									1/8	4+				
10	9	34	34	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	148										
10	9	69/2	69/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	149										
10	9	35	35	0.0	1/4	1/4	FiguredBass	4/4	2	1	0									1/8	6				
10	9	35	35	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	150	ornamentShortTrill									
10	9	71/2	71/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	151										
10	9	36	36	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/4	5	4			
10	9	36	36	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	152										
10	9	37	37	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/4	b7	3			
10	9	34	34	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	153										
10	9	36	36	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	154										
10	9	37	37	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	155										
11	9	38	38	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	156										
11	9	163/4	163/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	157										
11	9	41	41	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	158	ornamentShortTrill									
11	9	167/4	167/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	159										
11	9	38	38	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	160	ornamentMordent									
11	9	77/2	77/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	161										
11	9	39	39	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	162	ornamentShortTrill									
11	9	79/2	79/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	163										
11	9	40	40	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/8	#3				
11	9	40	40	0.0	1/2	1/2	Chord	4/4	2	1	0	appoggiatura	1/8	1	164										
11	9	40	40	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	165										
11	9	81/2	81/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	166										
11	9	41	41	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/8	6				
11	9	41	41	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	167	ornamentShortTrill									
11	9	83/2	83/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0									1/2	#6				
11	9	83/2	83/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	168										
12	10	42	42	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	169										
12	10	42	42	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	170	ornamentMordent									
12	10	43	43	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	171										9
12	10	175/4	175/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	172										
12	10	44	44	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	173	ornamentMordent									10
12	10	45	45	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	174	ornamentShortTrill									10
12	10	91/2	91/2	0.375	7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	175										10
12	10	367/8	367/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	176										
12	10	42	42	0.0	0	0	FiguredBass	4/4	2	1	0									1/2	_				
12	10	42	42	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	177										
12	10	85/2	85/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	178										
12	10	43	43	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	179										
12	10	87/2	87/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	180										
12	10	44	44	0.0	1/2	1/2	FiguredBass	4/4	2	1	0									1/4	5_	4			
12	10	44	44	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	181										
12	10	89/2	89/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	182										
12	10	45	45	0.0	3/4	3/4	FiguredBass	4/4	2	1	0									1/4	5\_				
12	10	45	45	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	183										
12	10	91/2	91/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	184										
13	11	46	46	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	185	ornamentShortTrill									
13	11	93/2	93/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	186										
13	11	47	47	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	187										
13	11	95/2	95/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	188										
13	11	48	48	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	189	ornamentShortTrill									
13	11	97/2	97/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	190										
13	11	49	49	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	191	ornamentMordent									
13	11	99/2	99/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	192										
13	11	46	46	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	193										
13	11	93/2	93/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	194										
13	11	47	47	0.0	1/4	1/4	FiguredBass	4/4	2	1	0									1/8	5\				
13	11	47	47	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	195										
13	11	95/2	95/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	196										
13	11	48	48	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	197										
13	11	97/2	97/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	198										
13	11	49	49	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	199	ornamentMordent									
13	11	99/2	99/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0									1/8	6				
13	11	99/2	99/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	200										
14	12	50	50	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	201	ornamentShortTrill									
14	12	101/2	101/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	202										
14	12	51	51	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	203	ornamentMordent									
14	12	103/2	103/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	204										
14	12	52	52	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	205										
14	12	52	52	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	206										
14	12	105/2	105/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	207										
14	12	53	53	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	208	ornamentShortTrill									
14	12	107/2	107/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	209										
14	12	50	50	0.0	0	0	FiguredBass	4/4	2	1	0									3/8	6_				
14	12	50	50	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	210										
14	12	101/2	101/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	211										
14	12	51	51	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	212										
14	12	103/2	103/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0									1/8	3				
14	12	103/2	103/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	213										
14	12	52	52	0.0	1/2	1/2	Chord	4/4	2	1	0	appoggiatura	1/8	1	214										11
14	12	52	52	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	215										11
14	12	211/4	211/4	0.0	11/16	11/16	FiguredBass	4/4	2	1	0									1/32	_				11
14	12	211/4	211/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	216										11
14	12	423/8	423/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	217										
14	12	53	53	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	218	ornamentShortTrill									
14	12	107/2	107/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0									1/8	6	4+			
14	12	107/2	107/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	219										
15	13	54	54	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	220										12
15	13	54	54	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	221	ornamentMordent									12
15	13	111/2	111/2	0.16666666666666666	3/8	3/8	Chord	4/4	1	1	1/24		1/32	4/3	222										12
15	13	167/3	167/3	0.16666666666666666	5/12	5/12	Chord	4/4	1	1	1/24		1/32	4/3	223										12
15	13	335/6	335/6	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/32	4/3	224										
15	13	56	56	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	225	ornamentMordent									
15	13	113/2	113/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	226										13
15	13	227/4	227/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	227										
15	13	57	57	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	228										
15	13	57	57	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	229	ornamentMordent									
15	13	231/4	231/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	230										
15	13	54	54	0.0	0	0	FiguredBass	4/4	2	1	0									3/8	6_				
15	13	54	54	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	231	ornamentShortTrill									
15	13	109/2	109/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	232										
15	13	55	55	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	233	ornamentMordent									
