mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
4	3	18	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	36								
4	3	25/2	0.5	0	0	Chord	3/2	1	2	1/8			1/8	1	37								
4	3	13	0.5	1/8	1/8	Chord	3/2	1	2	1/8			1/8	1	38								
4	3	27/2	2.0	1/4	1/4	Chord	3/2	1	2	1/2			1/2	1	39								
4	3	25/2	1.5	0	0	Chord	3/2	2	1	3/8			1/4	3/2	40								
4	3	14	0.5	3/8	3/8	Chord	3/2	2	1	1/8			1/8	1	41								
4	3	29/2	1.0	1/2	1/2	Chord	3/2	2	1	1/4			1/4	1	42								
4	3	31/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/4	4+		
4	3	31/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	43								
4	3	33/2	0.0	1	1	FiguredBass	3/2	2	1	0										1/4	6		
4	3	33/2	1.0	1	1	Chord	3/2	2	1	1/4			1/4	1	44	ornamentShortTrill							
4	3	35/2	0.0	5/4	5/4	FiguredBass	3/2	2	1	0										1/4	6		
4	3	35/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	45								
5	4	37/2	0.0	0	0	Chord	3/2	1	1	0	appoggiatura		1/8	1	46								
5	4	37/2	1.5	0	0	Chord	3/2	1	1	3/8			1/4	3/2	47	ornamentMordent							
5	4	20	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	48								
5	4	41/2	0.0	1/2	1/2	Chord	3/2	1	1	0	appoggiatura		1/8	1	49								
5	4	41/2	1.0	1/2	1/2	Chord	3/2	1	1	1/4			1/4	1	50								
5	4	43/2	0.0	3/4	3/4	Chord	3/2	1	1	0	appoggiatura		1/8	1	51								
5	4	43/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	52								
5	4	45/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	53	ornamentShortTrill							
5	4	24	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	54								
5	4	37/2	1.5	0	0	Chord	3/2	2	1	3/8			1/4	3/2	55								
5	4	20	0.5	3/8	3/8	Chord	3/2	2	1	1/8			1/8	1	56								
5	4	41/2	0.5	1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	57								
5	4	21	0.5	5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	58								
5	4	43/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/4	3		
5	4	43/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	59								
5	4	45/2	1.0	1	1	Chord	3/2	2	1	1/4			1/4	1	60	ornamentShortTrill							
5	4	47/2	0.0	5/4	5/4	FiguredBass	3/2	2	1	0										1/4	4+		
5	4	47/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	61								
6	5	49/2	0.0	0	0	Chord	3/2	1	1	0	appoggiatura		1/8	1	62								
6	5	49/2	3.0	0	0	Chord	3/2	1	1	3/4			1/2	3/2	63								
6	5	55/2	0.5	3/4	3/4	Chord	3/2	1	1	1/8			1/8	1	64								
6	5	28	0.5	7/8	7/8	Chord	3/2	1	1	1/8			1/8	1	65								
6	5	57/2	0.5	1	1	Chord	3/2	1	1	1/8			1/8	1	66								
6	5	29	0.5	9/8	9/8	Chord	3/2	1	1	1/8			1/8	1	67								
6	5	59/2	0.5	5/4	5/4	Chord	3/2	1	1	1/8			1/8	1	68								
6	5	30	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	69								
6	5	49/2	0.0	0	0	FiguredBass	3/2	2	1	0										1/8	6		
6	5	49/2	0.5	0	0	Chord	3/2	2	1	1/8			1/8	1	70	ornamentShortTrill							
6	5	25	0.5	1/8	1/8	Chord	3/2	2	1	1/8			1/8	1	71								
6	5	51/2	0.5	1/4	1/4	Chord	3/2	2	1	1/8			1/8	1	72								
6	5	26	0.5	3/8	3/8	Chord	3/2	2	1	1/8			1/8	1	73								
6	5	53/2	0.5	1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	74								
6	5	27	0.5	5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	75								
6	5	55/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/8	6	5	
6	5	55/2	0.5	3/4	3/4	Chord	3/2	2	1	1/8			1/8	1	76								
6	5	28	0.5	7/8	7/8	Chord	3/2	2	1	1/8			1/8	1	77								
6	5	57/2	0.5	1	1	Chord	3/2	2	1	1/8			1/8	1	78								
6	5	29	0.5	9/8	9/8	Chord	3/2	2	1	1/8			1/8	1	79								
6	5	59/2	0.5	5/4	5/4	Chord	3/2	2	1	1/8			1/8	1	80								
6	5	30	0.5	11/8	11/8	Chord	3/2	2	1	1/8			1/8	1	81								
7	6	61/2	1.5	0	0	Chord	3/2	1	1	3/8			1/4	3/2	82	ornamentShortTrill							
7	6	32	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	83								
7	6	65/2	1.0	1/2	1/2	Chord	3/2	1	1	1/4			1/4	1	84								0
7	6	67/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	85	ornamentMordent							
7	6	69/2	0.0	1	1	Chord	3/2	1	1	0	appoggiatura		1/8	1	86								
7	6	69/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	87								
7	6	36	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	88								
7	6	61/2	0.0	0	0	FiguredBass	3/2	2	1	0										1/4	3		
7	6	65/2	0.0	1/2	1/2	FiguredBass	3/2	2	1	0										1/4	6		
7	6	67/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/4	4+		
7	6	67/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	89								
7	6	69/2	0.0	1	1	FiguredBass	3/2	2	1	0										1/4	6		
7	6	69/2	1.0	1	1	Chord	3/2	2	1	1/4			1/4	1	90								
7	6	71/2	0.0	5/4	5/4	FiguredBass	3/2	2	1	0										1/4	5/		
7	6	71/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	91								
7	6	61/2	1.0	0	0	Chord	3/2	2	2	1/4			1/4	1	92								
7	6	63/2	1.0	1/4	1/4	Chord	3/2	2	2	1/4			1/4	1	93								
7	6	65/2	2.0	1/2	1/2	Chord	3/2	2	2	1/2			1/2	1	94								
7	6	69/2	1.0	1	1	Chord	3/2	2	2	1/4			1/4	1	95								
7	6	71/2	1.0	5/4	5/4	Chord	3/2	2	2	1/4			1/4	1	96								
8	7	73/2	2.0	0	0	Chord	3/2	1	1	1/2			1/2	1	97	ornamentShortTrill							1
8	7	77/2	0.0	1/2	1/2	Chord	3/2	1	1	0	appoggiatura		1/8	1	98								
8	7	77/2	0.0	1/2	1/2	Chord	3/2	1	1	0	appoggiatura		1/8	1	99								
8	7	77/2	1.0	1/2	1/2	Chord	3/2	1	1	1/4			1/4	1	100	ornamentTurn							
8	7	79/2	0.5	3/4	3/4	Chord	3/2	1	1	1/8			1/8	1	101								
8	7	40	0.5	7/8	7/8	Chord	3/2	1	1	1/8			1/8	1	102								
8	7	81/2	0.5	1	1	Chord	3/2	1	1	1/8			1/8	1	103								
8	7	41	0.5	9/8	9/8	Chord	3/2	1	1	1/8			1/8	1	104								
8	7	83/2	0.5	5/4	5/4	Chord	3/2	1	1	1/8			1/8	1	105	ornamentShortTrill							
8	7	42	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	106								
8	7	73/2	2.0	0	0	Chord	3/2	2	1	1/2			1/2	1	107								
8	7	77/2	1.0	1/2	1/2	Chord	3/2	2	1	1/4			1/4	1	108								
8	7	79/2	0.5	3/4	3/4	Chord	3/2	2	1	1/8			1/8	1	109								
8	7	40	0.5	7/8	7/8	Chord	3/2	2	1	1/8			1/8	1	110								
8	7	81/2	0.0	1	1	FiguredBass	3/2	2	1	0										1/8	#6		
8	7	81/2	0.5	1	1	Chord	3/2	2	1	1/8			1/8	1	111								
8	7	41	0.0	9/8	9/8	FiguredBass	3/2	2	1	0										1/8	3		
8	7	41	0.5	9/8	9/8	Chord	3/2	2	1	1/8			1/8	1	112								
8	7	83/2	0.0	5/4	5/4	FiguredBass	3/2	2	1	0										1/8	6		
8	7	83/2	0.5	5/4	5/4	Chord	3/2	2	1	1/8			1/8	1	113	ornamentShortTrill							
8	7	42	0.5	11/8	11/8	Chord	3/2	2	1	1/8			1/8	1	114								
8	7	73/2	1.0	0	0	Chord	3/2	2	2	1/4			1/4	1	115								
8	7	75/2	1.0	1/4	1/4	Chord	3/2	2	2	1/4			1/4	1	116								
8	7	77/2	1.0	1/2	1/2	Chord	3/2	2	2	1/4			1/4	1	117								
9	8	85/2	1.5	0	0	Chord	3/2	1	1	3/8			1/4	3/2	118								
9	8	44	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	119								
9	8	89/2	1.0	1/2	1/2	Chord	3/2	1	1	1/4			1/4	1	120	ornamentMordent							
9	8	91/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	121								
9	8	93/2	1.0	1	1	Chord	3/2	1	1	1/4			1/4	1	122								
9	8	95/2	1.0	5/4	5/4	Chord	3/2	1	1	1/4			1/4	1	123	ornamentTurn							
9	8	85/2	0.0	0	0	FiguredBass	3/2	2	1	0										1/8	#3		
9	8	85/2	0.5	0	0	Chord	3/2	2	1	1/8			1/8	1	124								
9	8	43	0.5	1/8	1/8	Chord	3/2	2	1	1/8			1/8	1	125								
9	8	87/2	0.5	1/4	1/4	Chord	3/2	2	1	1/8			1/8	1	126								
9	8	44	0.5	3/8	3/8	Chord	3/2	2	1	1/8			1/8	1	127								
9	8	89/2	0.0	1/2	1/2	FiguredBass	3/2	2	1	0										1/4	6		
9	8	89/2	1.0	1/2	1/2	Chord	3/2	2	1	1/4			1/4	1	128								
9	8	91/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/4	6	5	
9	8	91/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	129	ornamentTurn							
9	8	93/2	0.0	1	1	FiguredBass	3/2	2	1	0										1/4	4		
9	8	93/2	2.0	1	1	Chord	3/2	2	1	1/2			1/2	1	130								
9	8	95/2	0.0	5/4	5/4	FiguredBass	3/2	2	1	0										1/4	#3		
9	8	93/2	1.0	1	1	Chord	3/2	2	2	1/4			1/4	1	131								
9	8	95/2	1.0	5/4	5/4	Chord	3/2	2	2	1/4			1/4	1	132								
10	9	97/2	3.0	0	0	Chord	3/2	1	1	3/4			1/2	3/2	133								
10	9	103/2	2.0	3/4	3/4	Chord	3/2	1	1	1/2			1/2	1	134								
10	9	97/2	0.5	0	0	Chord	3/2	1	2	1/8			1/8	1	135								
10	9	49	0.5	1/8	1/8	Chord	3/2	1	2	1/8			1/8	1	136								
10	9	99/2	2.0	1/4	1/4	Chord	3/2	1	2	1/2			1/2	1	137								
10	9	103/2	2.0	3/4	3/4	Chord	3/2	1	2	1/2			1/2	1	138								
10	9	97/2	3.0	0	0	Chord	3/2	2	1	3/4			1/2	3/2	139								
10	9	103/2	0.0	3/4	3/4	StaffText	3/2	2	1	0													
10	9	103/2	2.0	3/4	3/4	Chord	3/2	2	1	1/2			1/2	1	140	ornamentMordent							
10	9	97/2	1.5	0	0	Chord	3/2	2	2	3/8			1/4	3/2	141								
10	9	50	0.5	3/8	3/8	Chord	3/2	2	2	1/8			1/8	1	142								
10	9	101/2	1.0	1/2	1/2	Chord	3/2	2	2	1/4			1/4	1	143								
10	9	103/2	2.0	3/4	3/4	Chord	3/2	2	2	1/2			1/2	1	144								
11	9	54	0.0	0	11/8	StaffText	3/2	1	1	0							"<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/>Reprise"						
11	9	54	0.5	0	11/8	Chord	3/2	1	1	1/8			1/8	1	145								
12	10	109/2	1.5	0	0	Chord	3/2	1	1	3/8			1/4	3/2	146								
12	10	56	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	147								
12	10	113/2	0.5	1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	148								
12	10	57	0.5	5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	149								
12	10	115/2	0.5	3/4	3/4	Chord	3/2	1	1	1/8			1/8	1	150								
12	10	58	0.5	7/8	7/8	Chord	3/2	1	1	1/8			1/8	1	151								
12	10	117/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	152	ornamentShortTrill							
12	10	60	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	153								
12	10	109/2	1.0	0	0	Chord	3/2	2	1	1/4			1/4	1	154								
12	10	111/2	1.5	1/4	1/4	Chord	3/2	2	1	3/8			1/4	3/2	155	ornamentMordent							
12	10	57	0.5	5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	156								
12	10	115/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/8	6		
12	10	115/2	0.5	3/4	3/4	Chord	3/2	2	1	1/8			1/8	1	157	ornamentShortTrill							
12	10	58	0.5	7/8	7/8	Chord	3/2	2	1	1/8			1/8	1	158								
12	10	117/2	0.5	1	1	Chord	3/2	2	1	1/8			1/8	1	159								
12	10	59	0.5	9/8	9/8	Chord	3/2	2	1	1/8			1/8	1	160								
12	10	119/2	0.0	5/4	5/4	FiguredBass	3/2	2	1	0										1/4	5		
12	10	119/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	161								
12	10	109/2	2.0	0	0	Chord	3/2	2	2	1/2			1/2	1	162								
13	11	121/2	2.0	0	0	Chord	3/2	1	1	1/2			1/2	1	163	ornamentShortTrill							2
13	11	125/2	0.0	1/2	1/2	Chord	3/2	1	1	0	appoggiatura		1/8	1	164								
13	11	125/2	0.0	1/2	1/2	Chord	3/2	1	1	0	appoggiatura		1/8	1	165								
13	11	125/2	1.0	1/2	1/2	Chord	3/2	1	1	1/4			1/4	1	166								
13	11	127/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	167	ornamentShortTrill							
13	11	129/2	0.0	1	1	Chord	3/2	1	1	0	appoggiatura		1/8	1	168								
13	11	129/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	169	ornamentMordent							
13	11	66	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	170								
13	11	121/2	0.0	0	0	FiguredBass	3/2	2	1	0										1/4	8	#3	
13	11	121/2	1.0	0	0	Chord	3/2	2	1	1/4			1/4	1	171								
13	11	123/2	0.0	1/4	1/4	FiguredBass	3/2	2	1	0										1/4	7		
13	11	123/2	1.0	1/4	1/4	Chord	3/2	2	1	1/4			1/4	1	172								
13	11	125/2	0.0	1/2	1/2	FiguredBass	3/2	2	1	0										1/4	5		
13	11	125/2	1.0	1/2	1/2	Chord	3/2	2	1	1/4			1/4	1	173								
13	11	127/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/8	8	#5	
13	11	127/2	0.5	3/4	3/4	Chord	3/2	2	1	1/8			1/8	1	174								
13	11	64	0.5	7/8	7/8	Chord	3/2	2	1	1/8			1/8	1	175								
13	11	129/2	0.0	1	1	FiguredBass	3/2	2	1	0										1/4	6		
13	11	129/2	1.0	1	1	Chord	3/2	2	1	1/4			1/4	1	176	ornamentShortTrill							
13	11	131/2	0.0	5/4	5/4	FiguredBass	3/2	2	1	0										1/4	#6		
13	11	131/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	177								
14	12	133/2	0.0	0	0	Chord	3/2	1	1	0	appoggiatura		1/8	1	178								
14	12	133/2	1.5	0	0	Chord	3/2	1	1	3/8			1/4	3/2	179	ornamentMordent							
14	12	68	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	180								
14	12	137/2	0.5	1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	181								
14	12	69	0.5	5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	182								
14	12	139/2	0.5	3/4	3/4	Chord	3/2	1	1	1/8			1/8	1	183								3
14	12	70	0.5	7/8	7/8	Chord	3/2	1	1	1/8			1/8	1	184								3
14	12	141/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	185	ornamentShortTrill							3
14	12	72	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	186								
14	12	133/2	1.0	0	0	Chord	3/2	2	1	1/4			1/4	1	187								
14	12	135/2	0.0	1/4	1/4	FiguredBass	3/2	2	1	0										1/4	7	#3	
14	12	135/2	1.0	1/4	1/4	Chord	3/2	2	1	1/4			1/4	1	188								
14	12	137/2	0.0	1/2	1/2	FiguredBass	3/2	2	1	0										1/4	5		
14	12	137/2	1.0	1/2	1/2	Chord	3/2	2	1	1/4			1/4	1	189	ornamentMordent							
14	12	139/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/4	6	5	
14	12	139/2	1.0	3/4	3/4	Chord	3/2	2	1	1/4			1/4	1	190								
14	12	141/2	0.0	1	1	FiguredBass	3/2	2	1	0										1/4	#3		
14	12	141/2	1.0	1	1	Chord	3/2	2	1	1/4			1/4	1	191								
14	12	143/2	1.0	5/4	5/4	Chord	3/2	2	1	1/4			1/4	1	192								
15	13	145/2	1.5	0	0	Chord	3/2	1	1	3/8			1/4	3/2	193								
15	13	74	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	194								
15	13	149/2	0.5	1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	195								
15	13	75	0.5	5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	196								
15	13	151/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	197	ornamentShortTrill							4
15	13	153/2	1.0	1	1	Chord	3/2	1	1	1/4			1/4	1	198	ornamentMordent							
15	13	155/2	1.0	5/4	5/4	Chord	3/2	1	1	1/4			1/4	1	199								
15	13	145/2	0.0	0	0	FiguredBass	3/2	2	1	0										1/4	6		
15	13	145/2	2.0	0	0	Chord	3/2	2	1	1/2			1/2	1	200	ornamentShortTrill							
15	13	151/2	1.5	3/4	3/4	Chord	3/2	2	1	3/8			1/4	3/2	201	ornamentMordent							
15	13	77	0.5	9/8	9/8	Chord	3/2	2	1	1/8			1/8	1	202								
15	13	155/2	0.5	5/4	5/4	Chord	3/2	2	1	1/8			1/8	1	203								
15	13	78	0.5	11/8	11/8	Chord	3/2	2	1	1/8			1/8	1	204								
15	13	145/2	1.0	0	0	Chord	3/2	2	2	1/4			1/4	1	205								
15	13	147/2	1.0	1/4	1/4	Chord	3/2	2	2	1/4			1/4	1	206								
16	14	157/2	1.5	0	0	Chord	3/2	1	1	3/8			1/4	3/2	207	ornamentMordent							
16	14	80	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	208								
16	14	161/2	0.5	1/2	1/2	Chord	3/2	1	1	1/8			1/8	1	209								
16	14	81	0.5	5/8	5/8	Chord	3/2	1	1	1/8			1/8	1	210								
16	14	163/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	211	ornamentShortTrill							5
16	14	165/2	1.0	1	1	Chord	3/2	1	1	1/4			1/4	1	212	ornamentMordent							
16	14	167/2	1.0	5/4	5/4	Chord	3/2	1	1	1/4			1/4	1	213								
16	14	157/2	0.0	0	0	FiguredBass	3/2	2	1	0										1/4	6		
16	14	159/2	2.0	1/4	1/4	Chord	3/2	2	1	1/2			1/2	1	214								
16	14	161/2	0.0	1/2	1/2	FiguredBass	3/2	2	1	0										1/4	5/		
16	14	157/2	2.0	0	0	Chord	3/2	2	2	1/2			1/2	1	215	ornamentShortTrill							
16	14	161/2	1.0	1/2	1/2	Chord	3/2	2	2	1/4			1/4	1	216								
16	14	163/2	1.5	3/4	3/4	Chord	3/2	2	2	3/8			1/4	3/2	217	ornamentMordent							
16	14	83	0.5	9/8	9/8	Chord	3/2	2	2	1/8			1/8	1	218								
16	14	167/2	0.5	5/4	5/4	Chord	3/2	2	2	1/8			1/8	1	219								
16	14	84	0.5	11/8	11/8	Chord	3/2	2	2	1/8			1/8	1	220								
17	15	169/2	1.0	0	0	Chord	3/2	1	1	1/4			1/4	1	221								
17	15	171/2	0.5	1/4	1/4	Chord	3/2	1	1	1/8			1/8	1	222								
17	15	86	0.5	3/8	3/8	Chord	3/2	1	1	1/8			1/8	1	223								
17	15	173/2	1.0	1/2	1/2	Chord	3/2	1	1	1/4			1/4	1	224								
17	15	175/2	1.0	3/4	3/4	Chord	3/2	1	1	1/4			1/4	1	225								
17	15	177/2	1.5	1	1	Chord	3/2	1	1	3/8			1/4	3/2	226	ornamentShortTrill							
17	15	90	0.5	11/8	11/8	Chord	3/2	1	1	1/8			1/8	1	227								
17	15	169/2	0.0	0	0	FiguredBass	3/2	2	1	0										1/4	5		
17	15	169/2	1.0	0	0	Chord	3/2	2	1	1/4			1/4	1	228								
17	15	171/2	0.0	1/4	1/4	FiguredBass	3/2	2	1	0										1/8	6		
17	15	171/2	0.5	1/4	1/4	Chord	3/2	2	1	1/8			1/8	1	229								
17	15	86	0.5	3/8	3/8	Chord	3/2	2	1	1/8			1/8	1	230								
17	15	173/2	0.5	1/2	1/2	Chord	3/2	2	1	1/8			1/8	1	231								
17	15	87	0.5	5/8	5/8	Chord	3/2	2	1	1/8			1/8	1	232								
17	15	175/2	0.0	3/4	3/4	FiguredBass	3/2	2	1	0										1/8	6		
17	15	175/2	0.5	3/4	3/4	Chord	3/2	2	1	1/8			1/8	1	233								
17	15	88	0.5	7/8	7/8	Chord	3/2	2	1	1/8			1/8	1	234								
17	15	177/2	0.0	1	1	FiguredBass	3/2	2	1	0										1/8	6		
17	15	177/2	0.5	1	1	Chord	3/2	2	1	1/8			1/8	1	235								
17	15	89	0.5	9/8	9/8	Chord	3/2	2	1	1/8			1/8	1	236								
17	15	171/2	1.0	1/4	1/4	Chord	3/2	2	2	1/4			1/4	1	237								
17	15	173/2	1.0	1/2	1/2	Chord	3/2	2	2	1/4			1/4	1	238								
17	15	175/2	1.0	3/4	3/4	Chord	3/2	2	2	1/4			1/4	1	239								
17	15	177/2	1.0	1	1	Chord	3/2	2	2	1/4			1/4	1	240								
17	15	179/2	1.0	5/4	5/4	Chord	3/2	2	2	1/4			1/4	1	241								
18	16	181/2	0.75	0	0	Chord	3/2	1	1	3/16			1/8	3/2	242	ornamentShortTrill							
18	16	365/4	0.25	3/16	3/16	Chord	3/2	1	1	1/16			1/16	1	243								
18	16	183/2	1.5	1/4	1/4	Chord	3/2	1	1	3/8			1/4	3/2	244	ornamentShortTrill							6
18	16	93	0.25	5/8	5/8	Chord	3/2	1	1	1/16			1/16	1	245								6
18	16	373/4	0.25	11/16	11/16	Chord	3/2	1	1	1/16			1/16	1	246								
18	16	187/2	2.0	3/4	3/4	Chord	3/2	1	1	1/2			1/2	1	247								
18	16	181/2	2.0	0	0	Chord	3/2	2	1	1/2			1/2	1	248								
18	16	94	0.0	7/8	7/8	FiguredBass	3/2	2	1	0										1/8	6		
18	16	94	0.5	7/8	7/8	Chord	3/2	2	1	1/8			1/8	1	249								
18	16	189/2	0.5	1	1	Chord	3/2	2	1	1/8			1/8	1	250								
18	16	95	0.5	9/8	9/8	Chord	3/2	2	1	1/8			1/8	1	251								
18	16	191/2	0.5	5/4	5/4	Chord	3/2	2	1	1/8			1/8	1	252								
18	16	96	0.5	11/8	11/8	Chord	3/2	2	1	1/8			1/8	1	253								
18	16	181/2	1.0	0	0	Chord	3/2	2	2	1/4			1/4	1	254								
18	16	183/2	2.0	1/4	1/4	Chord	3/2	2	2	1/2			1/2	1	255								
