mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur	TextLine
5	4	57/4	57/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	79	ornamentShortTrill											
5	4	59/4	59/4	0.0	5/8	5/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	80												
5	4	59/4	59/4	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	81												
5	4	61/4	61/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	82	ornamentShortTrill											
5	4	16	16	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	83												
5	4	49/4	49/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	84												
5	4	51/4	51/4	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	85											6	
5	4	55/4	55/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	86	ornamentShortTrill											
5	4	57/4	57/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	87												
5	4	59/4	59/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	88												
5	4	49/4	49/4	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	89												
5	4	53/4	53/4	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	90												
5	4	57/4	57/4	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	91												
5	4	59/4	59/4	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	92												
5	4	61/4	61/4	0.25	3/4	3/4	Chord	4/4	2	2	1/16		1/16	1	93												
5	4	31/2	31/2	0.25	13/16	13/16	Chord	4/4	2	2	1/16		1/16	1	94												
5	4	63/4	63/4	0.25	7/8	7/8	Chord	4/4	2	2	1/16		1/16	1	95												
5	4	16	16	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	96												
6	5	65/4	65/4	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	97												
6	5	65/4	65/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	98	ornamentMordent											
6	5	67/4	67/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	99	ornamentShortTrill											
6	5	17	17	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	100												
6	5	69/4	69/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	101	ornamentShortTrill										7	
6	5	18	18	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	102											7	
6	5	145/8	145/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	103												
6	5	73/4	73/4	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	104	ornamentShortTrill											
6	5	19	19	0.08333333333333333	11/16	11/16	Chord	4/4	1	1	1/48		1/32	2/3	105											8	
6	5	229/12	229/12	0.08333333333333333	17/24	17/24	Chord	4/4	1	1	1/48		1/32	2/3	106											8	
6	5	115/6	115/6	0.08333333333333333	35/48	35/48	Chord	4/4	1	1	1/48		1/32	2/3	107											8	
6	5	77/4	77/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	108	ornamentShortTrill										8	
6	5	20	20	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	109											8	
6	5	161/8	161/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	110												
6	5	67/4	67/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	111												
6	5	69/4	69/4	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/8	6	5		
6	5	69/4	69/4	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	112												
6	5	73/4	73/4	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	#3			
6	5	73/4	73/4	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	113												
6	5	77/4	77/4	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	114												
6	5	65/4	65/4	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	115												
6	5	69/4	69/4	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	116												
6	5	71/4	71/4	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	117												
6	5	73/4	73/4	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	118												
6	5	77/4	77/4	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	119												
7	6	81/4	81/4	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	120												
7	6	81/4	81/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	121	ornamentMordent											
7	6	83/4	83/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	122												
7	6	85/4	85/4	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	123	ornamentMordent											
7	6	89/4	89/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	124												
7	6	91/4	91/4	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	125												
7	6	93/4	93/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	126											9	
7	6	47/2	47/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	127											9	
7	6	95/4	95/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	128											9	
7	6	24	24	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	129												
7	6	81/4	81/4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	130												
7	6	89/4	89/4	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	131												
7	6	81/4	81/4	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	132												
7	6	87/4	87/4	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	133												
7	6	89/4	89/4	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	134												
7	6	95/4	95/4	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	135												
8	7	97/4	97/4	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	136												
8	7	97/4	97/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	137	ornamentMordent											
8	7	99/4	99/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	138												
8	7	25	25	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	139												
8	7	101/4	101/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	140	ornamentShortTrill											
8	7	51/2	51/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	141												
8	7	103/4	103/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	142	ornamentMordent											
8	7	26	26	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	143												
8	7	105/4	105/4	0.0	1/2	1/2	Spanner	4/4	1	1	0																0
8	7	105/4	105/4	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	144											10	0
8	7	109/4	109/4	0.0	3/4	3/4	Spanner	4/4	1	1	0																
8	7	109/4	109/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	145	ornamentShortTrill											
8	7	28	28	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	146												
8	7	105/4	105/4	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	147											11	
8	7	109/4	109/4	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	148												
8	7	28	28	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	149												
8	7	97/4	97/4	0.0	0	0	FiguredBass	4/4	2	1	0												1/8	6			
8	7	99/4	99/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	150												
8	7	101/4	101/4	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/8	6	5		
8	7	101/4	101/4	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	151												
8	7	103/4	103/4	0.0	3/8	3/8	FiguredBass	4/4	2	1	0												1/8	5/			
8	7	105/4	105/4	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	6	4		
8	7	109/4	109/4	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	#3_			
8	7	109/4	109/4	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	152												
8	7	97/4	97/4	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	153												
8	7	101/4	101/4	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	154												
8	7	103/4	103/4	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	155												
8	7	105/4	105/4	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	156												
8	7	107/4	107/4	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	157	ornamentTurn											
8	7	109/4	109/4	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	158												
8	7	111/4	111/4	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	159												
9	8	113/4	113/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	160												
9	8	119/4	119/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	161												
9	8	30	30	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	162												
9	8	121/4	121/4	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	163												
9	8	121/4	121/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	164												
9	8	123/4	123/4	0.375	5/8	5/8	Chord	4/4	1	1	3/32		1/16	3/2	165	ornamentMordent											
9	8	249/8	249/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	166												
9	8	125/4	125/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	167	ornamentShortTrill											
9	8	32	32	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	168												
9	8	117/4	117/4	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	169	ornamentShortTrill											
9	8	121/4	121/4	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	170												
9	8	125/4	125/4	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	171												
9	8	113/4	113/4	0.25	0	0	Chord	4/4	2	2	1/16		1/16	1	172												
9	8	57/2	57/2	0.25	1/16	1/16	Chord	4/4	2	2	1/16		1/16	1	173												
9	8	115/4	115/4	0.25	1/8	1/8	Chord	4/4	2	2	1/16		1/16	1	174												
9	8	29	29	0.25	3/16	3/16	Chord	4/4	2	2	1/16		1/16	1	175												
9	8	117/4	117/4	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	176												
9	8	119/4	119/4	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	177												
9	8	121/4	121/4	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	178												
9	8	123/4	123/4	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	179												
9	8	125/4	125/4	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	180												
9	8	127/4	127/4	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	181												
10	9	129/4	129/4	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	182												
10	9	129/4	129/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	183	ornamentMordent											
10	9	131/4	131/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	184												
10	9	133/4	133/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	185												
10	9	135/4	135/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	186	ornamentShortTrill											
10	9	137/4	137/4	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	187												
10	9	137/4	137/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	188	ornamentMordent											
10	9	139/4	139/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	189												
10	9	35	35	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	190												
10	9	141/4	141/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	191	ornamentShortTrill											
10	9	36	36	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	192												
10	9	129/4	129/4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	193												
10	9	135/4	135/4	0.0	3/8	3/8	FiguredBass	4/4	2	1	0												1/8	6	4		
10	9	137/4	137/4	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	6			
10	9	137/4	137/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	194												
10	9	139/4	139/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	195												
10	9	141/4	141/4	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	5/			
10	9	141/4	141/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	196												
10	9	143/4	143/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	197												
10	9	129/4	129/4	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	198												
10	9	135/4	135/4	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	199												
10	9	137/4	137/4	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	200												
10	9	141/4	141/4	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	201												
11	10	145/4	145/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	202	ornamentShortTrill											
11	10	37	37	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	203												
11	10	149/4	149/4	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	204												
11	10	153/4	153/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	205												
11	10	155/4	155/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	206												
11	10	39	39	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	207												
11	10	157/4	157/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	208	ornamentShortTrill											
11	10	40	40	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	209												
11	10	149/4	149/4	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	210												
11	10	151/4	151/4	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	211												
11	10	153/4	153/4	0.0	1/2	1/2	Chord	4/4	1	2	0	appoggiatura	1/8	1	212												
11	10	153/4	153/4	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	213												
11	10	145/4	145/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	214												
11	10	147/4	147/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	215												
11	10	149/4	149/4	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	6	4_		
11	10	149/4	149/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	216	ornamentMordent											
11	10	151/4	151/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	217												
11	10	153/4	153/4	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	7_			
11	10	153/4	153/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	218												
11	10	155/4	155/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	219												
11	10	157/4	157/4	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6_			
11	10	157/4	157/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	220												
11	10	159/4	159/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	221												
12	11	161/4	161/4	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	222												
12	11	41	41	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	223												
12	11	329/8	329/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	224												
12	11	165/4	165/4	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	225												
12	11	165/4	165/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	226	ornamentMordent											
12	11	42	42	0.08333333333333333	7/16	7/16	Chord	4/4	1	1	1/48		1/32	2/3	227											12	
12	11	505/12	505/12	0.08333333333333333	11/24	11/24	Chord	4/4	1	1	1/48		1/32	2/3	228											12	
12	11	253/6	253/6	0.08333333333333333	23/48	23/48	Chord	4/4	1	1	1/48		1/32	2/3	229												
12	11	169/4	169/4	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	230											13	
12	11	173/4	173/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	231	ornamentShortTrill											
12	11	44	44	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	232												
12	11	161/4	161/4	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	233												
12	11	169/4	169/4	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	234											14	
12	11	173/4	173/4	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	235												
12	11	44	44	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	236												
12	11	161/4	161/4	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	7_			
12	11	161/4	161/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	237												
12	11	163/4	163/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	238												
12	11	165/4	165/4	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	6_			
12	11	165/4	165/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	239												
12	11	167/4	167/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	240												
12	11	169/4	169/4	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	6	4		
12	11	173/4	173/4	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	3			
12	11	173/4	173/4	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	241												
12	11	169/4	169/4	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	242												
12	11	171/4	171/4	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	243	ornamentTurn											
12	11	173/4	173/4	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	244												
