mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
3	2	7	7	0.375	0	0	Chord	4/4	2	1	3/32		1/16	3/2	34													
3	2	59/8	59/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	35													
3	2	15/2	15/2	0.375	1/8	1/8	Chord	4/4	2	1	3/32		1/16	3/2	36													
3	2	63/8	63/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	37													
3	2	8	8	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	6_				
3	2	8	8	0.375	1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	38													
3	2	67/8	67/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	39													
3	2	17/2	17/2	0.375	3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	40													
3	2	71/8	71/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	41													
3	2	9	9	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	h3_				
3	2	9	9	0.375	1/2	1/2	Chord	4/4	2	1	3/32		1/16	3/2	42													
3	2	75/8	75/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	43													
3	2	19/2	19/2	0.375	5/8	5/8	Chord	4/4	2	1	3/32		1/16	3/2	44													
3	2	79/8	79/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	45													
3	2	10	10	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6_				
3	2	10	10	0.375	3/4	3/4	Chord	4/4	2	1	3/32		1/16	3/2	46													
3	2	83/8	83/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	47													
3	2	21/2	21/2	0.375	7/8	7/8	Chord	4/4	2	1	3/32		1/16	3/2	48													
3	2	87/8	87/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	49													
4	3	11	11	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	50													
4	3	11	11	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	51	ornamentMordent												
4	3	99/8	99/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	52													
4	3	25/2	25/2	0.375	3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	53													
4	3	103/8	103/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	54													
4	3	13	13	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	55	ornamentShortTrill												
4	3	27/2	27/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	56													
4	3	14	14	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	57	ornamentMordent												
4	3	29/2	29/2	0.375	7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	58													
4	3	119/8	119/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	59													
4	3	11	11	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	b3_				
4	3	11	11	0.375	0	0	Chord	4/4	2	1	3/32		1/16	3/2	60													
4	3	91/8	91/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	61													
4	3	23/2	23/2	0.375	1/8	1/8	Chord	4/4	2	1	3/32		1/16	3/2	62													
4	3	95/8	95/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	63													
4	3	12	12	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	6_				
4	3	12	12	0.375	1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	64													
4	3	99/8	99/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	65													
4	3	25/2	25/2	0.375	3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	66													
4	3	103/8	103/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	67													
4	3	13	13	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	_				
4	3	13	13	0.375	1/2	1/2	Chord	4/4	2	1	3/32		1/16	3/2	68													
4	3	107/8	107/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	69													
4	3	27/2	27/2	0.375	5/8	5/8	Chord	4/4	2	1	3/32		1/16	3/2	70													
4	3	111/8	111/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	71													
4	3	14	14	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	6_				
4	3	14	14	0.375	3/4	3/4	Chord	4/4	2	1	3/32		1/16	3/2	72													
4	3	115/8	115/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	73													
4	3	29/2	29/2	0.375	7/8	7/8	Chord	4/4	2	1	3/32		1/16	3/2	74													
4	3	119/8	119/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	75													
5	4	15	15	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	76													
5	4	15	15	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	77	ornamentMordent												
5	4	63/4	63/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	78													
5	4	16	16	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	79													
5	4	67/4	67/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	80													
5	4	17	17	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	81	ornamentShortTrill												
5	4	35/2	35/2	0.0	5/8	5/8	StaffText	4/4	1	1	0						♭											
5	4	35/2	35/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	82	ornamentShortTrill												
5	4	71/4	71/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	83													
5	4	18	18	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	84	ornamentShortTrill												
5	4	75/4	75/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	85													
5	4	15	15	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	86													
5	4	61/4	61/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	87													
5	4	31/2	31/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	88													
5	4	63/4	63/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	89													
5	4	16	16	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	6_				
5	4	16	16	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	90													
5	4	65/4	65/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	91													
5	4	33/2	33/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	92													
5	4	67/4	67/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	93													
5	4	17	17	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	94													
5	4	35/2	35/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	95													
5	4	18	18	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/4	3_				
5	4	18	18	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	96													
5	4	37/2	37/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0												1/8	b7				
5	4	37/2	37/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	97													
6	5	19	19	0.0	0	0	StaffText	4/4	1	1	0						)											
6	5	19	19	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	98													
6	5	77/4	77/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	99													
6	5	39/2	39/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	100													
6	5	79/4	79/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	101													
6	5	20	20	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	102													
6	5	81/4	81/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	103													
6	5	41/2	41/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	104													
6	5	83/4	83/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	105													
6	5	21	21	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	106													
6	5	85/4	85/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	107													
6	5	43/2	43/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	108													
6	5	87/4	87/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	109													
6	5	22	22	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	110													
6	5	89/4	89/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	111													
6	5	45/2	45/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	112													
6	5	91/4	91/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	113													
6	5	19	19	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	114													
6	5	20	20	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/8	5/				
6	5	20	20	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	115													
6	5	21	21	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	b3				
6	5	21	21	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	116													
6	5	22	22	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	5/				
6	5	22	22	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	117													
7	6	23	23	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	118													
7	6	93/4	93/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	119													
7	6	47/2	47/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	120													
7	6	95/4	95/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	121													
7	6	24	24	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	122													
7	6	97/4	97/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	123													
7	6	49/2	49/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	124													
7	6	99/4	99/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	125													
7	6	25	25	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	126													
7	6	101/4	101/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	127													
7	6	51/2	51/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	128													
7	6	103/4	103/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	129													
7	6	26	26	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	130													
7	6	105/4	105/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	131													
7	6	53/2	53/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	132													
7	6	107/4	107/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	133													
7	6	23	23	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	134													
7	6	24	24	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/8	b6				
7	6	24	24	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	135													
7	6	25	25	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	8	5/			
7	6	25	25	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	136													
7	6	26	26	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	5/				
7	6	26	26	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	137													
8	7	27	27	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	138													
8	7	109/4	109/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	139													
8	7	55/2	55/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	140													
8	7	111/4	111/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	141													
8	7	28	28	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	142													
8	7	113/4	113/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	143													
8	7	57/2	57/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	144													
8	7	115/4	115/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	145													
8	7	29	29	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	146	ornamentShortTrill												1
8	7	119/4	119/4	0.08333333333333333	11/16	11/16	Chord	4/4	1	1	1/48		1/32	2/3	147													1
8	7	179/6	179/6	0.08333333333333333	17/24	17/24	Chord	4/4	1	1	1/48		1/32	2/3	148													1
8	7	359/12	359/12	0.08333333333333333	35/48	35/48	Chord	4/4	1	1	1/48		1/32	2/3	149													1
8	7	30	30	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	150	ornamentShortTrill												1
8	7	123/4	123/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	151													1
8	7	247/8	247/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	152													
8	7	27	27	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	_				
8	7	27	27	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	153													
8	7	109/4	109/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	154													
8	7	55/2	55/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	155													
8	7	111/4	111/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	156													
8	7	28	28	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/4	6	4+	3_		
8	7	28	28	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	157													
8	7	113/4	113/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	158													
8	7	57/2	57/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	159													
8	7	115/4	115/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	160													
8	7	29	29	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/4	h3_				
8	7	29	29	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	161													
8	7	117/4	117/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	162													
8	7	59/2	59/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	163													
8	7	119/4	119/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	164													
8	7	30	30	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	165													
8	7	61/2	61/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	166													
9	8	31	31	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	167													
9	8	31	31	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	h3				
9	8	31	31	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	168													
10	8	259/8	259/8	0.125	3/32	11/32	Chord	4/4	1	1	1/32		1/32	1	169													
10	8	65/2	65/2	0.375	1/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	170	ornamentMordent												
10	8	263/8	263/8	0.125	7/32	15/32	Chord	4/4	1	1	1/32		1/32	1	171													
10	8	33	33	0.5	1/4	1/2	Chord	4/4	1	1	1/8		1/8	1	172													
10	8	67/2	67/2	0.5	3/8	5/8	Chord	4/4	1	1	1/8		1/8	1	173													
10	8	34	34	0.25	1/2	3/4	Chord	4/4	1	1	1/16		1/16	1	174													
10	8	137/4	137/4	0.25	9/16	13/16	Chord	4/4	1	1	1/16		1/16	1	175													
10	8	69/2	69/2	0.25	5/8	7/8	Chord	4/4	1	1	1/16		1/16	1	176	ornamentShortTrill												
10	8	139/4	139/4	0.25	11/16	15/16	Chord	4/4	1	1	1/16		1/16	1	177													
10	8	32	32	0.0	0	1/4	StaffText	4/4	2	1	0						Reprise											
11	9	35	35	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	178													
11	9	35	35	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	179	ornamentMordent												
11	9	71/2	71/2	0.0	1/8	1/8	StaffText	4/4	1	1	0						)											
11	9	71/2	71/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	180													
11	9	71/2	71/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	181													
11	9	36	36	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	182	ornamentMordent												
11	9	147/4	147/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	183													
11	9	37	37	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	184													
11	9	149/4	149/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	185													
11	9	75/2	75/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	186													
11	9	151/4	151/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	187													
11	9	38	38	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	188	ornamentShortTrill												
11	9	155/4	155/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	189													
11	9	291/8	291/8	0.0	11/32	11/32	FiguredBass	4/4	2	1	0												1/32	5/				
11	9	291/8	291/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	190													
11	9	73/2	73/2	0.375	3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	191													
11	9	295/8	295/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	192													
11	9	37	37	0.0	1/2	1/2	FiguredBass	4/4	2	1	0												1/8	7	h5	3	2	
11	9	37	37	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	193													
11	9	75/2	75/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0												1/8	b3				
11	9	75/2	75/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	194													
11	9	38	38	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												3/16	7	5/_			
11	9	38	38	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	195													
11	9	153/4	153/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	196													
11	9	77/2	77/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	197													
11	9	155/4	155/4	0.0	15/16	15/16	FiguredBass	4/4	2	1	0												1/16	h6				
11	9	155/4	155/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	198													
12	10	39	39	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	199													
12	10	39	39	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	200	ornamentMordent												
12	10	161/4	161/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	201													
12	10	81/2	81/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	202													
12	10	163/4	163/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	203													
12	10	41	41	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	204													
12	10	165/4	165/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	205													
12	10	83/2	83/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	206													
12	10	167/4	167/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	207													
12	10	42	42	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	208													
12	10	169/4	169/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	209													
12	10	85/2	85/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	210													
12	10	171/4	171/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	211													
12	10	39	39	0.0	0	0	FiguredBass	4/4	2	1	0												1/2	6_				
12	10	39	39	0.0	0	0	Chord	4/4	2	1	0	appoggiatura	1/8	1	212													
12	10	39	39	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	213													
12	10	79/2	79/2	0.0	1/8	1/8	StaffText	4/4	2	1	0						)											
12	10	79/2	79/2	0.0	1/8	1/8	Chord	4/4	2	1	0	appoggiatura	1/8	1	214													
12	10	79/2	79/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	215													
12	10	40	40	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	216													
12	10	165/4	165/4	0.0	9/16	9/16	FiguredBass	4/4	2	1	0												3/16	h3_				
12	10	165/4	165/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	217													
12	10	83/2	83/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	218													
12	10	167/4	167/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	219													
12	10	42	42	0.0	3/4	3/4	FiguredBass	4/4	2	1	0												1/8	6_				
12	10	42	42	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	220													
12	10	169/4	169/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	221													
12	10	85/2	85/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0												1/8	4+_				
12	10	85/2	85/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	222													
12	10	171/4	171/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	223													
13	11	43	43	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	224													
13	11	43	43	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	225	ornamentMordent												
13	11	44	44	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	226													
13	11	177/4	177/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	227													
13	11	89/2	89/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	228													
13	11	179/4	179/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	229													
13	11	45	45	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	230	ornamentShortTrill												
13	11	181/4	181/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	231													
13	11	91/2	91/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	232													
13	11	183/4	183/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	233													
13	11	46	46	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	234	ornamentShortTrill												
13	11	187/4	187/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	235													
13	11	43	43	0.0	0	0	FiguredBass	4/4	2	1	0												1/4	6_				
13	11	43	43	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	236													
13	11	173/4	173/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	237													
13	11	87/2	87/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	238													
13	11	175/4	175/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	239													
13	11	44	44	0.0	1/4	1/4	FiguredBass	4/4	2	1	0												1/8	5/				
