mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
3	2	19/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	21										
3	2	10	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	22										
3	2	13/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	7_			
3	2	13/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	23										
3	2	7	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	24										
3	2	15/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	6_			
3	2	15/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	25										
3	2	8	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	26										
3	2	17/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	5	2_		
3	2	17/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	27										
3	2	9	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	28										
3	2	19/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	6			
3	2	19/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	29										
3	2	10	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	5/			
3	2	10	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	30										
4	3	21/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	31										1
4	3	11	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	32		ornamentShortTrill								
4	3	45/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	33										
4	3	23/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	34										
4	3	12	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	35										
4	3	25/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	36										
4	3	13	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	37										
4	3	27/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	38										
4	3	14	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	39										
4	3	21/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	5	4_		
4	3	21/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	40										
4	3	11	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	41										
4	3	23/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	3			
4	3	23/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	42										
4	3	12	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	6			
4	3	12	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	43										
4	3	25/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	6	5_		
4	3	25/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	44										
4	3	13	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	45										
4	3	27/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	46										
4	3	14	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	47										
5	4	29/2	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	48		ornamentShortTrill								
5	4	16	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	49										
5	4	33/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	50										
5	4	18	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	51										
5	4	29/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	52										
5	4	15	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	53										
5	4	31/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	54										
5	4	16	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	55										
5	4	33/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	6_			
5	4	33/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	56										
5	4	17	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	57										
5	4	35/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	58										
5	4	18	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	59										
6	5	37/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	60										
6	5	19	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	61										
6	5	77/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	62										
6	5	39/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	63										
6	5	20	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	64										
6	5	41/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	65										
6	5	22	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	66										
6	5	37/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	5	3	2_	
6	5	37/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	67										
6	5	19	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	68										
6	5	39/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	3_			
6	5	39/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	69										
6	5	20	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	70										
6	5	41/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	71										
6	5	21	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	72										
6	5	43/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	73										
6	5	22	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	74										
7	6	45/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	75										
7	6	23	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	76										
7	6	93/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	77										
7	6	47/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	78										
7	6	24	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	79										
7	6	49/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	80										
7	6	25	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	81										
7	6	51/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	82										
7	6	26	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	83										
7	6	45/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	5	3	2_	
7	6	45/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	84										
7	6	23	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	85										
7	6	47/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	86										
7	6	24	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	87										
7	6	97/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	88										
7	6	49/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	3_			
7	6	49/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	89										
7	6	25	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	90										
7	6	51/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	91										
7	6	26	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	92										
8	7	53/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	93		ornamentShortTrill								
8	7	27	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	94										
8	7	55/2	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	95										
8	7	29	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	96										
8	7	117/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	97										
8	7	59/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	98										
8	7	30	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	99										
8	7	121/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	100										
8	7	53/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	h3			
8	7	53/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	101										
8	7	28	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	b3			
8	7	28	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	102										
8	7	57/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	5/_			
8	7	57/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	103										
8	7	29	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	104										
8	7	59/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	105										
8	7	30	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	106										
9	8	61/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	107		ornamentShortTrill								
9	8	31	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	108										
9	8	63/2	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	109										
9	8	33	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	110										
9	8	133/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	111										
9	8	67/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	112										
9	8	34	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	113										
9	8	137/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	114										
9	8	61/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	_			
9	8	61/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	115										
9	8	32	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	116										
9	8	65/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	6_			
9	8	65/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	117										
9	8	33	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	118										
9	8	67/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	5/_			
9	8	67/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	119										
9	8	34	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	120										
10	9	69/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	121		ornamentShortTrill								
10	9	35	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	122										
10	9	71/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	123										
10	9	36	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	124										
10	9	73/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	125										
10	9	37	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	126										
10	9	149/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	127										
10	9	75/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	128		ornamentShortTrill								
10	9	153/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	129										
10	9	69/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	h3_			
10	9	69/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	130										
10	9	35	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	131										
10	9	141/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	132										
10	9	71/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	6_			
10	9	71/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	133										
10	9	36	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	134										
10	9	73/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/8	7	3	2	
10	9	73/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	135										
10	9	37	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	3			
10	9	37	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	136										
10	9	75/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	h3_			
10	9	75/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	137										
10	9	38	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	138										
11	10	77/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	139										
11	10	39	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	140										
11	10	157/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	141										
11	10	79/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	142		ornamentShortTrill								
11	10	40	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	143										
11	10	161/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	144										
11	10	81/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	145										
11	10	77/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	146										2
11	10	41	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	147										2
11	10	165/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	148										2
11	10	83/2	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	149		ornamentShortTrill								2
11	10	167/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	150										2
11	10	42	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	151										
12	11	85/2	1.5	0	0	Chord	4/4	2	1	3/8			1/4	3/2	152										
13	11	44	0.5	0	3/8	Chord	4/4	1	1	1/8			1/8	1	153										
13	11	89/2	0.5	1/8	1/2	Chord	4/4	1	1	1/8			1/8	1	154										
13	11	45	0.5	1/4	5/8	Chord	4/4	1	1	1/8			1/8	1	155										
13	11	91/2	1.0	3/8	3/4	Chord	4/4	1	1	1/4			1/4	1	156										
13	11	45	0.5	1/4	5/8	Chord	4/4	2	1	1/8			1/8	1	157										
13	11	91/2	0.0	3/8	3/4	FiguredBass	4/4	2	1	0											1/8	6			
13	11	91/2	0.5	3/8	3/4	Chord	4/4	2	1	1/8			1/8	1	158										
13	11	46	0.5	1/2	7/8	Chord	4/4	2	1	1/8			1/8	1	159										
14	12	93/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	160										
14	12	47	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	161										
14	12	189/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	162										
14	12	95/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	163										
14	12	48	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	164										
14	12	97/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	165										
14	12	49	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	166										
14	12	99/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	167										
14	12	93/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	168										
14	12	48	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	169										
14	12	193/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	170										
14	12	97/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	171										
14	12	49	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	172										
14	12	99/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	6			
14	12	99/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	173										
14	12	50	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	174										
15	13	101/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	175										
15	13	51	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	176										
15	13	205/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	177										
15	13	103/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	178										
15	13	52	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	179										
15	13	105/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	180										
15	13	53	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	181										
15	13	213/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	182										
15	13	107/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	183		ornamentShortTrill								
15	13	217/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	184										
15	13	101/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	185										
15	13	52	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	186										
15	13	209/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	187										
15	13	105/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	6_			
15	13	105/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	188										
15	13	53	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	189										
15	13	213/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	190										
15	13	107/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	191										
15	13	54	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	192										
16	14	109/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	193		ornamentShortTrill								
16	14	55	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	194										
16	14	56	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	195										
16	14	225/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	196										
16	14	113/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	197										
16	14	57	1.0	5/8	5/8	Chord	4/4	1	1	1/4			1/4	1	198										
16	14	58	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	199										
16	14	109/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	h3_			
16	14	109/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	200										
16	14	55	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	201										
16	14	221/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	202										
16	14	111/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	6			
16	14	111/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	203										
16	14	56	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	7	h3		
16	14	56	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	204										
16	14	113/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	205										
16	14	57	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/16	6	4		
16	14	57	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	206										
16	14	229/4	0.0	11/16	11/16	FiguredBass	4/4	2	1	0											1/16	7			
16	14	115/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	6	4+	3	
16	14	115/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	207										
17	15	117/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	208										
17	15	59	1.0	1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	209										
17	15	60	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	210										
17	15	121/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	211										
17	15	61	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	212		ornamentShortTrill								
17	15	245/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	213										
17	15	123/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	214		ornamentShortTrill								
17	15	249/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	215										
17	15	117/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/8	7	#3		
17	15	117/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	216										
17	15	59	0.0	1/8	1/8	FiguredBass	4/4	2	1	0											1/8	6	4		
17	15	119/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	7			
17	15	119/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	217										
17	15	60	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	6	4+	2	
17	15	121/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/8	6			
17	15	121/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	218										
17	15	61	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	6	5		
17	15	61	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	219										
17	15	123/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	h3_			
17	15	123/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	220										
17	15	62	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	221										
18	16	125/2	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	222										
18	16	64	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	223										
18	16	257/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	224										
18	16	129/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	225		ornamentShortTrill								
18	16	65	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	226										
18	16	131/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	227										
18	16	66	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	228										
18	16	125/2	0.0	0	0	FiguredBass	4/4	2	1	0											1/2	h3_			
18	16	125/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	229										
18	16	63	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	230										
18	16	253/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	231										
18	16	127/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	232										
18	16	64	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	233										
18	16	129/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/8	h3			
18	16	129/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	234										
18	16	65	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	235										
18	16	261/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	236										
18	16	131/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	6			
18	16	131/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	237										
18	16	66	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	h3			
18	16	66	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	238										
19	17	133/2	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	239										
19	17	133/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	240										
19	17	67	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura		1/8	1	241										
19	17	67	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	242										
19	17	68	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	243										
19	17	273/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	244										
19	17	137/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	245		ornamentShortTrill								
19	17	69	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	246										
19	17	139/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	247										
19	17	70	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	248										
19	17	133/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	249										
19	17	67	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	250										
19	17	269/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	251										
19	17	135/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	6			
19	17	135/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	252										
19	17	68	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	h3			
19	17	68	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	253										
19	17	137/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/2	_			
