mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	slur
29	25	199/2	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	370					
29	25	97	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	371					
29	25	195/2	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	372					
29	25	98	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	373					
29	25	197/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	374					
29	25	99	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	375					
29	25	199/2	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	376					
29	25	100	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	377					
29	25	193/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	378					
30	26	201/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	379					59
30	26	101	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	380					59
30	26	203/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	381					59
30	26	102	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	382					
30	26	205/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	383					60
30	26	103	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	384					60
30	26	207/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	385					60
30	26	104	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	386					
30	26	201/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	387					
30	26	101	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	388					
30	26	203/2	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	389					
30	26	102	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	390					
30	26	205/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	391					
30	26	103	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	392					
30	26	207/2	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	393					
30	26	104	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	394					
30	26	201/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	395					
31	27	209/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	396					61
31	27	105	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	397					61
31	27	211/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	398					61
31	27	106	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	399					
31	27	213/2	0.75		1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	400					62
31	27	429/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	401					62
31	27	215/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	402	ornamentShortTrill				62
31	27	433/4	0.125		15/16	15/16	Chord	4/4	1	1	1/32			1/32	1	403					62
31	27	867/8	0.125		31/32	31/32	Chord	4/4	1	1	1/32			1/32	1	404					
31	27	209/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	405					
31	27	105	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	406					
31	27	211/2	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	407					
31	27	106	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	408					
31	27	213/2	0.75		1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	409					63
31	27	429/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	410					63
31	27	215/2	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	411	ornamentShortTrill				63
31	27	433/4	0.125		15/16	15/16	Chord	4/4	2	1	1/32			1/32	1	412					63
31	27	867/8	0.125		31/32	31/32	Chord	4/4	2	1	1/32			1/32	1	413					
31	27	209/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	414					
32	28	217/2	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	415					64
32	28	219/2	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	416	ornamentShortTrill				
32	28	441/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	417					
32	28	221/2	1.5		1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	418	ornamentShortTrill				
32	28	112	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	419					
32	28	217/2	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	420					65
32	28	219/2	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	421	ornamentShortTrill				
32	28	441/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	422					
32	28	221/2	1.5		1/2	1/2	Chord	4/4	2	1	3/8			1/4	3/2	423	ornamentShortTrill				
32	28	112	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	424					
32	28	217/2	1.0		0	0	Chord	4/4	2	2	1/4			1/4	1	425					
32	28	219/2	1.0		1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	426					
32	28	221/2	2.0		1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	427					
33	29	225/2	0.0		0	0	StaffText	4/4	1	1	0							)			
33	29	225/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	428					
33	29	113	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	429					
33	29	227/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	430					
33	29	114	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	431					
33	29	229/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	432					66
33	29	115	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	433					66
33	29	231/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	434					66
33	29	116	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	435					
33	29	225/2	0.0		0	0	StaffText	4/4	2	1	0							)			
33	29	225/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	436					
33	29	113	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	437					
33	29	227/2	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	438					
33	29	114	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	439					
33	29	229/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	440					67
33	29	115	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	441					67
33	29	231/2	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	442					67
33	29	116	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	443					
33	29	225/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	444					
34	30	233/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	445					68
34	30	117	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	446					68
34	30	235/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	447					68
34	30	118	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	448					
34	30	237/2	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	449					69
34	30	239/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	450	ornamentShortTrill				
34	30	481/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	451					
34	30	233/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	452					70
34	30	117	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	453					70
34	30	235/2	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	454					70
34	30	118	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	455					
34	30	237/2	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	456					71
34	30	239/2	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	457	ornamentShortTrill				
34	30	481/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	458					
34	30	233/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	459					
34	30	237/2	1.0		1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	460					
34	30	239/2	1.0		3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	461					
35	31	241/2	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	462					
35	31	485/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	463					
35	31	243/2	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	464					
35	31	489/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	465					
35	31	245/2	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	466					72
35	31	247/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	467	ornamentShortTrill				
35	31	497/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	468					
35	31	241/2	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	469					
35	31	485/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	470					
35	31	243/2	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	471					
35	31	489/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	472					
35	31	245/2	0.75		1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	473					
35	31	493/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	474					
35	31	247/2	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	475					
35	31	497/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	476					
35	31	241/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	477					
35	31	245/2	1.0		1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	478					
35	31	247/2	1.0		3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	479					
36	32	249/2	0.0		0	0	StaffText	4/4	1	1	0							)			
36	32	249/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	480	ornamentShortTrill				
36	32	125	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	481					
36	32	251/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	482					
36	32	126	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	483					
36	32	253/2	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	484					
36	32	127	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	485					
36	32	255/2	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	486					
36	32	128	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	487					
36	32	249/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	488	ornamentShortTrill				
36	32	126	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	489					
36	32	253/2	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	490					
36	32	127	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	491					
36	32	255/2	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	492					
36	32	128	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	493					
36	32	249/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	494					
37	33	257/2	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	495	ornamentShortTrill				
37	33	129	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	496					
37	33	259/2	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	497					
37	33	130	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	498					
37	33	261/2	0.75		1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	499					73
37	33	525/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	500					
37	33	263/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	501					74
37	33	529/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	502					
37	33	257/2	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	503	ornamentShortTrill				
37	33	129	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	504					
37	33	259/2	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	505					
37	33	130	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	506					
37	33	261/2	0.75		1/2	1/2	Chord	4/4	2	1	3/16			1/8	3/2	507					75
37	33	525/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	508					
37	33	263/2	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	509					76
37	33	529/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	510					
37	33	257/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	511					
38	34	265/2	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	512					77
38	34	533/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	513					
38	34	267/2	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	514					78
38	34	537/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	515					
38	34	269/2	0.75		1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	516					
38	34	541/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	517					
38	34	271/2	0.75		3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	518	ornamentShortTrill				
38	34	545/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	519					
38	34	265/2	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	520					
38	34	533/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	521					
38	34	267/2	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	522					
38	34	537/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	523					
38	34	269/2	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	524	ornamentShortTrill				
38	34	271/2	0.75		3/4	3/4	Chord	4/4	2	1	3/16			1/8	3/2	525					
38	34	545/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	526					
38	34	265/2	2.0		0	0	Chord	4/4	2	2	1/2			1/2	1	527					
38	34	269/2	0.75		1/2	1/2	Chord	4/4	2	2	3/16			1/8	3/2	528					
38	34	541/4	0.25		11/16	11/16	Chord	4/4	2	2	1/16			1/16	1	529					
38	34	271/2	0.75		3/4	3/4	Chord	4/4	2	2	3/16			1/8	3/2	530					
38	34	545/4	0.25		15/16	15/16	Chord	4/4	2	2	1/16			1/16	1	531					
39	35	273/2	0.75		0	0	Chord	4/4	1	1	3/16			1/8	3/2	532					
39	35	549/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	533					
39	35	275/2	0.75		1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	534					
39	35	553/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	535					
39	35	277/2	1.5		1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	536	ornamentShortTrill				
39	35	140	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	537					
39	35	273/2	0.75		0	0	Chord	4/4	2	1	3/16			1/8	3/2	538					
39	35	549/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	539					
39	35	275/2	0.75		1/4	1/4	Chord	4/4	2	1	3/16			1/8	3/2	540					
39	35	553/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	541					
39	35	277/2	1.5		1/2	1/2	Chord	4/4	2	1	3/8			1/4	3/2	542	ornamentShortTrill				
39	35	140	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	543					
39	35	273/2	1.0		0	0	Chord	4/4	2	2	1/4			1/4	1	544					
39	35	275/2	1.0		1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	545					
39	35	277/2	2.0		1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	546					
40	36		0.5	1	0	0	Chord	4/4	1	1	1/8			1/8	1	547					
40	36		0.5	1	0	0	Chord	4/4	2	1	1/8			1/8	1	548					
40	36		0.5	1	0	0	Chord	4/4	2	2	1/8			1/8	1	549					
41	36	281/2	4.0	2	0	0	Chord	4/4	1	1	1			1	1	550					
41	36	281/2	4.0	2	0	0	Chord	4/4	2	1	1			1	1	551					
41	36	281/2	4.0	2	0	0	Chord	4/4	2	2	1			1	1	552					
