mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur	TextLine
6	6	33/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	46										
6	6	17	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6				
6	6	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	47										
7	7	18	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	48										
7	7	37/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	49										
7	7	19	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	50	ornamentShortTrill									
7	7	41/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	51										
7	7	18	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	52										
7	7	19	1.5		1/4	1/4	Chord	3/4	1	2	3/8			1/4	3/2	53										
7	7	18	0.0		0	0	FiguredBass	3/4	2	1	0										1/8	4+				
7	7	18	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	54										
7	7	37/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	55										
7	7	19	2.0		1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	56										
7	7	19	1.0		1/4	1/4	Chord	3/4	2	2	1/4			1/4	1	57										
7	7	20	1.0		1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	58										
8	8		2.0	1	0	0	Chord	3/4	1	1	1/2			1/2	1	59										
8	8		1.0	1	0	0	Chord	3/4	2	1	1/4			1/4	1	60										
8	8		0.5	1	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	61										
8	8		0.5	1	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	62										
8	8		0.5	1	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	63	ornamentShortTrill									
8	8		0.5	1	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	64										
9	8	21	1.0	2	0	0	Chord	3/4	1	1	1/4			1/4	1	65										
9	8	22	1.5	2	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	66	ornamentMordent									
9	8	47/2	0.5	2	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	67										
9	8	23	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	68										
9	8	21	1.0	2	0	0	Chord	3/4	2	2	1/4			1/4	1	69										
9	8	22	2.0	2	1/4	1/4	Chord	3/4	2	2	1/2			1/2	1	70										
10	9	24	0.0		0	0	StaffText	3/4	1	1	0							"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Reprise"								
10	9	24	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	71										
10	9	24	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	72	ornamentMordent									
10	9	25	0.0		1/4	1/4	Chord	3/4	1	1	0	grace8after		1/8	1	73										
10	9	25	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	74	ornamentShortTrill									
10	9	53/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	75										
10	9	24	0.0		0	0	Chord	3/4	2	1	0	grace16after		1/16	1	76										
10	9	24	0.0		0	0	Chord	3/4	2	1	0	grace16after		1/16	1	77										
10	9	24	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	78										
10	9	25	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	4+				
10	9	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	79									5	
10	9	26	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	80	ornamentShortTrill									
10	9	53/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	81										
10	9	24	1.0		0	0	Chord	3/4	2	2	1/4			1/4	1	82										
11	10	27	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	83										
11	10	27	1.5		0	0	Chord	3/4	1	1	3/8			1/4	3/2	84	ornamentMordent									
11	10	57/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	85										
11	10	29	0.0		1/2	1/2	Chord	3/4	1	1	0	appoggiatura		1/8	1	86										
11	10	29	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	87										
11	10	27	0.0		0	0	FiguredBass	3/4	2	1	0										3/8	6_				
11	10	27	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	88										
11	10	55/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	89										
11	10	28	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	90										
11	10	57/2	0.0		3/8	3/8	FiguredBass	3/4	2	1	0										1/8	6	4			
11	10	57/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	91										
11	10	29	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	4+_				
11	10	29	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	92										
11	10	59/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	93										
12	11	30	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	94										
12	11	30	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	95										
12	11	31	0.0		1/4	1/4	Chord	3/4	1	1	0	appoggiatura		1/8	1	96										
12	11	31	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	97	ornamentMordent									
12	11	65/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	98										
12	11	30	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	#6_				
12	11	30	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	99										
12	11	61/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	100										
12	11	31	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	6				
12	11	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	101										
12	11	32	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6	5			
12	11	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	102										
13	12	33	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	103	ornamentShortTrill									
13	12	35	0.0		1/2	1/2	Chord	3/4	1	1	0	appoggiatura		1/8	1	104										
13	12	35	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	105										
13	12	33	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	#3				
13	12	33	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	106										
13	12	35	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	107										
13	12	33	1.0		0	0	Chord	3/4	2	2	1/4			1/4	1	108										
13	12	34	2.0		1/4	1/4	Chord	3/4	2	2	1/2			1/2	1	109										
14	13	36	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	110										
14	13	37	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	111	ornamentMordent									
14	13	77/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	112										
14	13	36	0.0		0	0	FiguredBass	3/4	2	1	0										1/8	6				
14	13	36	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	113										
14	13	73/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	114										
14	13	37	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	115										
14	13	75/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	116										
14	13	38	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	117										
14	13	77/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	118										
15	14	39	1.5		0	0	Chord	3/4	1	1	3/8			1/4	3/2	119	ornamentMordent									
15	14	81/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	120										
15	14	41	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	121	ornamentShortTrill									
15	14	39	0.0		0	0	FiguredBass	3/4	2	1	0										1/2	6_				
15	14	39	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	122	ornamentShortTrill									
15	14	40	1.5		1/4	1/4	Chord	3/4	2	1	3/8			1/4	3/2	123	ornamentMordent									
15	14	83/2	0.0		5/8	5/8	FiguredBass	3/4	2	1	0										1/8	4+_				
15	14	83/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	124										
15	14	167/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	125										
16	15	42	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	126										
16	15	42	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	127	ornamentMordent									
16	15	43	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	128	ornamentShortTrill									
16	15	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	129										
16	15	42	0.0		0	0	FiguredBass	3/4	2	1	0										1/8	6				
16	15	42	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	130									6	
16	15	85/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	131									6	
16	15	171/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	132										
16	15	43	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	6	4			
16	15	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	133	ornamentShortTrill									
16	15	44	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6	5			
16	15	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	134										
17	16	45	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	135	ornamentShortTrill								7	
17	16	47	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	136										
17	16	47	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	137										
17	16	47	1.0		1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	138										
17	16	45	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	#3				
17	16	45	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	139										
17	16	47	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/8	#3				
17	16	47	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	140										
17	16	95/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	141										
17	16	45	1.0		0	0	Chord	3/4	2	2	1/4			1/4	1	142										
17	16	46	1.0		1/4	1/4	Chord	3/4	2	2	1/4			1/4	1	143										
18	17	48	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	144									8	
18	17	195/4	0.08333333333333333		3/16	3/16	Chord	3/4	1	1	1/48			1/32	2/3	145									8	
18	17	293/6	0.08333333333333333		5/24	5/24	Chord	3/4	1	1	1/48			1/32	2/3	146									8	
18	17	587/12	0.08333333333333333		11/48	11/48	Chord	3/4	1	1	1/48			1/32	2/3	147										
18	17	49	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	148	ornamentShortTrill									
18	17	101/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	149										
18	17	48	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	5_				
18	17	48	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	150										
18	17	97/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	151										
18	17	49	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	6_				
18	17	49	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	152										
18	17	99/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	153										
18	17	50	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	154										
18	17	101/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	155										
19	18	51	0.0		0	0	Chord	3/4	1	1	0	appoggiatura		1/8	1	156										
19	18	51	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	157									9	
19	18	207/4	0.08333333333333333		3/16	3/16	Chord	3/4	1	1	1/48			1/32	2/3	158									9	
19	18	311/6	0.08333333333333333		5/24	5/24	Chord	3/4	1	1	1/48			1/32	2/3	159									9	
19	18	623/12	0.08333333333333333		11/48	11/48	Chord	3/4	1	1	1/48			1/32	2/3	160										
19	18	52	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	161	ornamentShortTrill									
19	18	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	162										
19	18	51	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	5_				
19	18	51	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	163										
19	18	103/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	164										
19	18	52	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	6	5	b3_		
19	18	52	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	165										
19	18	105/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	166										
19	18	53	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	167										
19	18	107/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	168										
20	19	54	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	169	ornamentShortTrill								10	
20	19	219/4	0.08333333333333333		3/16	3/16	Chord	3/4	1	1	1/48			1/32	2/3	170									10	
20	19	329/6	0.08333333333333333		5/24	5/24	Chord	3/4	1	1	1/48			1/32	2/3	171									10	
20	19	659/12	0.08333333333333333		11/48	11/48	Chord	3/4	1	1	1/48			1/32	2/3	172									10	
20	19	55	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	173	ornamentShortTrill								10	
20	19	113/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	174									10	
20	19	227/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	175										
20	19	54	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	7	#3			
20	19	54	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	176										
20	19	55	2.0		1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	177										
21	20	57	2.0		0	0	Chord	3/4	1	1	1/2			1/2	1	178										
21	20	57	0.5		0	0	Chord	3/4	1	2	1/8			1/8	1	179										
21	20	115/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8			1/8	1	180										
21	20	58	1.0		1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	181										
21	20	57	0.0		0	0	FiguredBass	3/4	2	1	0										3/4	#3_				
21	20	57	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	182										
21	20	58	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	183										
21	20	117/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	184										
21	20	59	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	185	ornamentShortTrill									
21	20	119/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	186										
22	21	60	0.0		0	0	StaffText	3/4	1	1	0															
22	21	60	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	187	ornamentMordent									
22	21	61	0.0		1/4	1/4	Spanner	3/4	1	1	0															
22	21	61	0.0		1/4	1/4	Spanner	3/4	1	1	0															
22	21	61	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	188										
22	21	125/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	189										
22	21	60	0.0		0	0	FiguredBass	3/4	2	1	0										3/4	5/_				
22	21	60	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	190										
22	21	121/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	191										
22	21	61	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	192										
22	21	123/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	193										
22	21	62	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	194										
22	21	125/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	195										
23	22	63	0.0		0	0	Chord	3/4	1	1	0	grace8after		1/8	1	196										
23	22	63	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	197	ornamentShortTrill									
23	22	64	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	198										
23	22	63	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	5	4_			
23	22	63	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	199										
23	22	127/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	200										
23	22	64	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	b3_				
23	22	64	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	201										
23	22	129/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	202										
23	22	65	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	203										
23	22	131/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	204										
24	23	66	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	205	ornamentMordent									
24	23	67	0.0		1/4	1/4	Spanner	3/4	1	1	0															
24	23	67	0.0		1/4	1/4	Spanner	3/4	1	1	0															
24	23	67	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	206										
24	23	137/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	207										
24	23	66	0.0		0	0	FiguredBass	3/4	2	1	0										3/4	5/_				
24	23	66	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	208										
24	23	133/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	209										
24	23	67	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	210										
24	23	135/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	211										
24	23	68	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	212										
24	23	137/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	213										
25	24	69	0.0		0	0	Chord	3/4	1	1	0	grace8after		1/8	1	214										
25	24	69	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	215	ornamentShortTrill									
25	24	70	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	216										
25	24	69	0.0		0	0	FiguredBass	3/4	2	1	0										1/4	5	b4_			
25	24	69	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	217										
25	24	139/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	218										
25	24	70	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/4	3_				
25	24	70	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	219										
25	24	141/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	220										
25	24	71	0.0		1/2	1/2	FiguredBass	3/4	2	1	0										1/4	6	4_			
25	24	71	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	221										
25	24	143/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	222										
26	25	72	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	223										
26	25	145/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	224										
26	25	73	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	225										
26	25	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	226										
26	25	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	227										
26	25	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	228										
26	25	72	0.0		0	0	FiguredBass	3/4	2	1	0										3/4	6	5	b3_		
26	25	72	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	229										
26	25	145/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	230										
26	25	73	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	231										
26	25	147/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	232										
26	25	74	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	233										
26	25	149/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	234										
27	26	75	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	235	ornamentShortTrill									
27	26	151/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	236										
27	26	76	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	237										
27	26	153/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	238										
27	26	77	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	239										
27	26	155/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	240										
27	26	75	0.0		0	0	FiguredBass	3/4	2	1	0										1/8	#3				
27	26	75	0.5		0	0	Chord	3/4	2	1	1/8			1/8	1	241										
27	26	151/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	242										
27	26	76	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	243										
27	26	153/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	244										
27	26	77	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	245										
27	26	155/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	246										
27	26	75	3.0		0	0	Chord	3/4	2	2	3/4			1/2	3/2	247										
28	27	78	0.75		0	0	Chord	3/4	1	1	3/16			1/8	3/2	248	ornamentShortTrill									
28	27	315/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	249										
28	27	79	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	250	ornamentShortTrill									
28	27	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	251										
28	27	78	0.0		0	0	FiguredBass	3/4	2	1	0										3/16	4+				
28	27	79	0.0		1/4	1/4	FiguredBass	3/4	2	1	0										1/2	#3_				
28	27	79	2.0		1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	252										
28	27	78	0.75		0	0	Chord	3/4	2	2	3/16			1/8	3/2	253										
28	27	315/4	0.25		3/16	3/16	Chord	3/4	2	2	1/16			1/16	1	254										
28	27	79	1.0		1/4	1/4	Chord	3/4	2	2	1/4			1/4	1	255										
28	27	80	1.0		1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	256										
29	28		1.0	1	0	0	Chord	3/4	1	1	1/4			1/4	1	257										
