mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
12	10	41/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	56	ornamentShortTrill							
12	10	21	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	57								
12	10	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	58								
12	10	22	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	59								
12	10	41/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	60								
12	10	22	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/8	7			
12	10	22	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	61								
13	11	45/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	62	ornamentShortTrill							2
13	11	23	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	63								2
13	11	93/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	64								2
13	11	47/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	65								
13	11	24	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	66								
13	11	97/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	67								
13	11	45/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	68								
13	11	47/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	69								
14	12	49/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	70								
14	12	99/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	71								
14	12	25	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	72								
14	12	101/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	73								
14	12	51/2	0.75	1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	74	ornamentShortTrill							3
14	12	105/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	75								3
14	12	211/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	76								
14	12	49/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/4	6	5_		
14	12	49/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	77								
14	12	25	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	78								
14	12	51/2	0.0	1/4	1/4	FiguredBass	2/4	2	1	0									1/4	#3_			
14	12	51/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	79								
14	12	26	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	80								
15	13	53/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	81								
15	13	53/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	82								
15	13	55/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	83								
16	13	28	0.5	0	3/8	Chord	2/4	1	1	1/8			1/8	1	84								
17	14	57/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	85	ornamentShortTrill							
17	14	59/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	86	articStaccatissimoBelow							
18	15	61/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	87	ornamentMordent							
18	15	32	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	88								
18	15	129/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	89								
18	15	32	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	90								
19	16	65/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	91								
19	16	33	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	92								
19	16	133/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	93								
19	16	67/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	94								
19	16	34	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	95								
19	16	137/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	96								
19	16	65/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	97								
19	16	67/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	98								
20	17	69/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	99								
20	17	35	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	100								
20	17	141/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	101								
20	17	71/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	102								
20	17	143/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	103								
20	17	36	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	104								
20	17	145/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	105								
20	17	69/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	106								
21	18	73/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	107								
21	18	37	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	108								
21	18	149/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	109								
21	18	75/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	110								
21	18	151/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	111								
21	18	38	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	112								
21	18	153/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	113								
21	18	73/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	114								
22	19	77/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	115								
22	19	39	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	116								
22	19	157/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	117								
22	19	79/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	118								
22	19	40	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	119								
22	19	77/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	120								
22	19	40	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/8	#3			
22	19	40	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	121								
23	20	81/2	0.0	0	0	Chord	2/4	1	1	0	grace8after		1/8	1	122								
23	20	81/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	123	articStaccatissimoAbove							
23	20	83/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace8after		1/8	1	124								
23	20	83/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	125	ornamentShortTrill							
23	20	81/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	126								
23	20	41	0.0	1/8	1/8	FiguredBass	2/4	2	1	0									1/8	6	5	b3	
23	20	41	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	127								
23	20	83/2	0.0	1/4	1/4	FiguredBass	2/4	2	1	0									1/4	#3			
23	20	83/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	128								
24	21	85/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	129								
24	21	44	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	130								4
24	21	177/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	131								4
24	21	85/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	132								
25	22	89/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	133								
25	22	91/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	134	articStaccatissimoAbove							
26	23	93/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	135	ornamentMordent							
26	23	48	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	136								
26	23	193/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	137								
26	23	48	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	138								
26	23	193/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	139								
27	24	97/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	140								
27	24	49	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	141								
27	24	99/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	142	ornamentShortTrill							
27	24	50	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	143								
27	24	97/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/2	4+_			
27	24	97/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	144								
27	24	99/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	145								
28	25	101/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	146								
28	25	51	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	147								
28	25	205/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	148								
28	25	103/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	149								
28	25	52	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	150								
28	25	209/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	151								
28	25	101/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	152								
28	25	103/2	0.0	1/4	1/4	FiguredBass	2/4	2	1	0									1/4	6_			
28	25	103/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	153								
28	25	52	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	154								
28	25	209/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	155								
29	26	105/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	156								
29	26	53	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	157								
29	26	107/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	158								
29	26	215/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	159								
29	26	54	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	160	ornamentShortTrill							
29	26	217/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	161								
29	26	105/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/8	5/			
29	26	105/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	162								
29	26	53	0.0	1/8	1/8	FiguredBass	2/4	2	1	0									1/8	3			
29	26	53	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	163								
29	26	107/2	0.0	1/4	1/4	FiguredBass	2/4	2	1	0									1/8	6			
29	26	107/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	164								
29	26	54	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/8	#6			
29	26	54	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	165								
30	27	109/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	166								5
30	27	219/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	167								5
30	27	55	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	168	ornamentShortTrill							5
30	27	221/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	169								5
30	27	111/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	170								
30	27	56	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	171								6
30	27	225/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	172								6
30	27	109/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	173								
30	27	111/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	174								
30	27	223/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	175								
30	27	56	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	176								
30	27	225/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	177								
31	28	113/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	178								
31	28	115/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	179	articStaccatissimoAbove							
31	28	113/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	180								
31	28	58	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/16	6			
31	28	58	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	181								
31	28	233/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	182								
32	29	117/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	183	ornamentMordent							
32	29	60	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	184								
32	29	241/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	185								
32	29	117/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/2	5	4_		
32	29	117/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	186								
32	29	119/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	187								
33	30	121/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	188	articStaccatoAbove							
33	30	61	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	189	articStaccatoAbove							
33	30	123/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	190	articStaccatoAbove							
33	30	62	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	191	articStaccatoAbove							
33	30	121/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/4	b3			
33	30	121/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	192								
33	30	62	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/16	b6			
33	30	62	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	193								
33	30	249/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	194								
34	31	125/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	195								
34	31	63	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	196								
34	31	253/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	197								
34	31	127/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	198								
34	31	64	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	199								
34	31	257/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	200								
34	31	125/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/4	5	b4		
34	31	125/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	201								
34	31	127/2	0.0	1/4	1/4	FiguredBass	2/4	2	1	0									1/4	3			
34	31	127/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	202								
35	32	129/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	203								
35	32	131/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	204	articStaccatissimoAbove							
35	32	66	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/8	6_			
35	32	66	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	205								
35	32	265/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	206								
36	33	133/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	207	ornamentMordent							
36	33	68	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	208								
36	33	273/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	209								
36	33	133/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/2	5	4_		
36	33	133/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	210								
36	33	135/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	211								
37	34	137/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	212	articStaccatoAbove							
37	34	69	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	213	articStaccatoAbove							
37	34	139/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	214	articStaccatoAbove							
37	34	70	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	215	articStaccatoAbove							
37	34	137/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/4	3			
37	34	137/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	216								
37	34	70	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/16	6			
37	34	70	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	217								
37	34	281/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	218								
38	35	141/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	219								7
38	35	71	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	220								7
38	35	285/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	221								7
38	35	143/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	222								
38	35	72	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	223								
38	35	289/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	224								
38	35	141/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/4	5	4_		
38	35	141/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	225								
38	35	71	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	226								
38	35	143/2	0.0	1/4	1/4	FiguredBass	2/4	2	1	0									1/4	3_			
38	35	143/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	227								
38	35	72	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	228								
38	35	289/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	229								
39	36	145/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	230	articStaccatoAbove							
39	36	73	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	231	articStaccatoAbove							
39	36	147/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	232								8
39	36	74	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	233	ornamentShortTrill							
39	36	297/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	234								
39	36	145/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	235								
39	36	73	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	236								
39	36	147/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	237								9
39	36	74	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	238	ornamentShortTrill							
39	36	297/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	239								
40	37	149/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	240								
40	37	75	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	241								
40	37	301/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	242								
40	37	151/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	243								10
40	37	76	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	244	ornamentShortTrill							
40	37	305/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	245								
40	37	149/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	246								
40	37	75	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	247								
40	37	301/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	248								
40	37	151/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	249								11
40	37	76	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	250	ornamentShortTrill							
40	37	305/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	251								
41	38	153/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	252								
41	38	77	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	253								
41	38	309/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	254								
41	38	155/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	255								12
41	38	78	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	256	ornamentShortTrill							
41	38	313/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	257								
41	38	153/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	258								
41	38	77	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	259								
41	38	309/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	260								
41	38	155/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	261								13
41	38	78	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	262	ornamentShortTrill							
41	38	313/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	263								
42	39	157/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	264								
42	39	79	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	265								
42	39	159/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	266								
42	39	80	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	267								
42	39	157/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	268								
42	39	79	0.0	1/8	1/8	FiguredBass	2/4	2	1	0									1/8	6			
42	39	79	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	269								
42	39	159/2	0.0	1/4	1/4	FiguredBass	2/4	2	1	0									1/8	7	3	2	
42	39	159/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	270								
