mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
4	3	15	15	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	26											
4	3	33/2	33/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	27											
4	3	17	17	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	28											
4	3	18	18	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	29											
4	3	19	19	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	30	ornamentShortTrill										
4	3	15	15	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	31											
4	3	17	17	0.0	1/2	1/2	FiguredBass	6/4	2	1	0												1/4	6		
4	3	17	17	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	32											
4	3	18	18	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/2	6	5_	
4	3	18	18	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	33											
4	3	19	19	0.0	1	1	FiguredBass	6/4	2	1	0												1/4	4		
4	3	19	19	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	34											
4	3	20	20	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7	3	
4	3	20	20	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	35											
5	4	21	21	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	36											
5	4	45/2	45/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	37											
5	4	23	23	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	38											
5	4	24	24	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	39											
5	4	25	25	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	40											
5	4	21	21	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	41											
5	4	23	23	0.0	1/2	1/2	FiguredBass	6/4	2	1	0												1/4	6		
5	4	23	23	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	42											
5	4	24	24	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/2	5/		
5	4	24	24	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	43											
5	4	26	26	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7		
5	4	26	26	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	44											
6	5	27	27	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	45	ornamentShortTrill										
6	5	57/2	57/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	46											
6	5	29	29	0.0	1/2	1/2	StaffText	6/4	1	1	0						)									
6	5	29	29	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	47											
6	5	30	30	2.0	3/4	3/4	Chord	6/4	1	1	1/2		1/2	1	48	ornamentShortTrill										
6	5	32	32	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	49											
6	5	27	27	0.0	0	0	StaffText	6/4	2	1	0						)									
6	5	27	27	3.0	0	0	Chord	6/4	2	1	3/4		1/2	3/2	50											
6	5	30	30	3.0	3/4	3/4	Chord	6/4	2	1	3/4		1/2	3/2	51											
6	5	32	32	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	6	4	
7	6	33	33	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	52											
7	6	69/2	69/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	53											
7	6	35	35	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	54											
7	6	36	36	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	55											
7	6	37	37	0.0	1	1	Chord	6/4	1	1	0	grace8after	1/8	1	56											
7	6	37	37	0.0	1	1	Chord	6/4	1	1	0	grace8after	1/8	1	57											
7	6	37	37	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	58	ornamentShortTrill										
7	6	33	33	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	6		
7	6	33	33	3.0	0	0	Chord	6/4	2	1	3/4		1/2	3/2	59											
7	6	36	36	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	7		
7	6	36	36	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	60											
7	6	37	37	0.0	1	1	FiguredBass	6/4	2	1	0												1/2	7	#3	
7	6	37	37	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	61											
8	7	39	39	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	62											
8	7	81/2	81/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	63											
8	7	41	41	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	64											
8	7	42	42	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	65											
8	7	43	43	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	66	ornamentShortTrill										
8	7	39	39	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	67											
8	7	41	41	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	68											
8	7	42	42	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	5/		
8	7	42	42	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	69											
8	7	43	43	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	70											
9	8	45	45	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	71	ornamentShortTrill										
9	8	93/2	93/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	72											
9	8	47	47	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	73											
9	8	48	48	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	74											
9	8	49	49	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	75											
9	8	45	45	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	#3_		
9	8	45	45	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	76											
9	8	47	47	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	77											
9	8	48	48	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												3/4	6_		
9	8	48	48	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	78											
9	8	50	50	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	79											
10	9	51	51	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	80											
10	9	105/2	105/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	81											
10	9	53	53	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	82											
10	9	54	54	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	83											
10	9	55	55	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	84	ornamentShortTrill										
10	9	51	51	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	#3_		
10	9	51	51	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	85											
10	9	53	53	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	86											
10	9	54	54	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												3/4	6_		
10	9	54	54	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	87											
10	9	55	55	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	88											
11	10	57	57	1.0	0	0	Chord	6/4	1	1	1/4		1/4	1	89	ornamentShortTrill										
11	10	58	58	1.0	1/4	1/4	Chord	6/4	1	1	1/4		1/4	1	90											
11	10	59	59	1.5	1/2	1/2	Chord	6/4	1	1	3/8		1/4	3/2	91											
11	10	121/2	121/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8		1/8	1	92											
11	10	61	61	1.5	1	1	Chord	6/4	1	1	3/8		1/4	3/2	93	ornamentShortTrill										
11	10	125/2	125/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8		1/8	1	94											
11	10	57	57	0.0	0	0	FiguredBass	6/4	2	1	0												1/4	#3		
11	10	57	57	1.0	0	0	Chord	6/4	2	1	1/4		1/4	1	95											
11	10	58	58	0.0	1/4	1/4	FiguredBass	6/4	2	1	0												1/4	6		
11	10	58	58	1.0	1/4	1/4	Chord	6/4	2	1	1/4		1/4	1	96											
11	10	59	59	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	97											
11	10	60	60	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	6	5	
11	10	60	60	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	98											
11	10	61	61	0.0	1	1	FiguredBass	6/4	2	1	0												1/4	4		
11	10	61	61	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	99											
11	10	62	62	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	3		
12	11	63	63	3.0	0	0	Chord	6/4	1	1	3/4		1/2	3/2	100											
12	11	63	63	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	101											
12	11	65	65	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	102											
13	11	66	66	2.0	0	3/4	Chord	6/4	1	1	1/2		1/2	1	103	ornamentShortTrill										
13	11	68	68	1.0	1/2	5/4	Chord	6/4	1	1	1/4		1/4	1	104											
13	11	66	66	0.0	0	3/4	StaffText	6/4	2	1	0						Reprise									
13	11	66	66	3.0	0	3/4	Chord	6/4	2	1	3/4		1/2	3/2	105											
14	12	69	69	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	106											
14	12	141/2	141/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	107											
14	12	71	71	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	108											
14	12	72	72	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	109											
14	12	73	73	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	110	ornamentShortTrill										
14	12	69	69	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	5/		
14	12	69	69	3.0	0	0	Chord	6/4	2	1	3/4		1/2	3/2	111											
14	12	72	72	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												3/4	7	#3	
14	12	72	72	3.0	3/4	3/4	Chord	6/4	2	1	3/4		1/2	3/2	112											
15	13	75	75	0.0	0	0	Chord	6/4	1	1	0	appoggiatura	1/8	1	113											
15	13	75	75	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	114	ornamentMordent										
15	13	153/2	153/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	115											
15	13	77	77	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	116											
15	13	78	78	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	117											
15	13	79	79	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	118											
15	13	75	75	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	119											
15	13	77	77	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	120											
15	13	78	78	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/2	6		
15	13	78	78	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	121											
15	13	80	80	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	6	#3	
15	13	80	80	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	122											
16	14	81	81	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	123											
16	14	165/2	165/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	124											
16	14	83	83	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	125											
16	14	84	84	1.5	3/4	3/4	Chord	6/4	1	1	3/8		1/4	3/2	126	ornamentShortTrill										
16	14	171/2	171/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8		1/8	1	127											
16	14	86	86	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	128											
16	14	81	81	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	129											
16	14	83	83	0.0	1/2	1/2	FiguredBass	6/4	2	1	0												1/4	6	4	
16	14	83	83	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	130											
16	14	84	84	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												3/4	6	5_	
16	14	84	84	1.5	3/4	3/4	Chord	6/4	2	1	3/8		1/4	3/2	131	ornamentShortTrill										
16	14	171/2	171/2	0.5	9/8	9/8	Chord	6/4	2	1	1/8		1/8	1	132											
16	14	86	86	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	133											
17	15	87	87	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	134	ornamentShortTrill										
17	15	177/2	177/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	135											
17	15	89	89	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	136											
17	15	90	90	0.0	3/4	3/4	Chord	6/4	1	1	0	appoggiatura	1/8	1	137											
17	15	90	90	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	138	ornamentMordent										
17	15	91	91	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	139	ornamentShortTrill										
17	15	87	87	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	#3_		
17	15	87	87	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	140											
17	15	89	89	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	141											
17	15	90	90	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/2	6		
17	15	90	90	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	142											
17	15	92	92	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7		
17	15	92	92	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	143											
18	16	93	93	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	144											
18	16	189/2	189/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	145											
18	16	95	95	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	146											
18	16	96	96	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	147											
18	16	97	97	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	148	ornamentShortTrill										
18	16	93	93	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	7\	5/_	
18	16	93	93	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	149											
18	16	95	95	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	150											
18	16	96	96	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												3/4	7	#3_	
18	16	96	96	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	151											
18	16	98	98	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	152											
19	17	99	99	0.0	0	0	Chord	6/4	1	1	0	appoggiatura	1/8	1	153											
19	17	99	99	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	154	ornamentMordent										
19	17	201/2	201/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	155											
19	17	101	101	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	156											
19	17	102	102	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	157											
19	17	103	103	0.0	1	1	Chord	6/4	1	1	0	grace8after	1/8	1	158											
19	17	103	103	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	159	ornamentShortTrill										
19	17	99	99	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	_		
19	17	99	99	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	160											
19	17	201/2	201/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	161											
19	17	101	101	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	162											
19	17	102	102	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	6	5	
19	17	102	102	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	163											
19	17	103	103	0.0	1	1	FiguredBass	6/4	2	1	0												1/2	#3_		
19	17	103	103	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	164											
19	17	104	104	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7		
19	17	104	104	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	165											
20	18	105	105	3.0	0	0	Chord	6/4	1	1	3/4		1/2	3/2	166											
20	18	219/2	219/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8		1/8	1	167											
20	18	110	110	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	168											
20	18	105	105	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	_		
20	18	105	105	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	169											
20	18	213/2	213/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	170											
20	18	107	107	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	171											
20	18	108	108	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/2	5		
20	18	108	108	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	172											
20	18	110	110	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	4+		
20	18	110	110	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	173											
21	19	111	111	0.0	0	0	Chord	6/4	1	1	0	appoggiatura	1/8	1	174											
21	19	111	111	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	175	ornamentMordent										
21	19	225/2	225/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	176											
21	19	113	113	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	177											
21	19	114	114	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	178											
21	19	115	115	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	179											
21	19	111	111	0.0	0	0	FiguredBass	6/4	2	1	0												3/2	#6_		
21	19	111	111	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	180											
21	19	113	113	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	181											
21	19	114	114	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	182											
21	19	115	115	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	183											
22	20	117	117	0.0	0	0	StaffText	6/4	1	1	0						)									
22	20	117	117	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	184	ornamentShortTrill										
22	20	237/2	237/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	185											
22	20	119	119	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	186											
22	20	120	120	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	187											
22	20	121	121	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	188											
22	20	117	117	0.0	0	0	FiguredBass	6/4	2	1	0												3/2	#3_		
22	20	117	117	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	189											
22	20	119	119	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	190											
22	20	120	120	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	191											
22	20	121	121	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	192											
23	21	123	123	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	193	ornamentShortTrill										
23	21	249/2	249/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	194											
23	21	125	125	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	195											
23	21	126	126	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	196											
23	21	127	127	0.0	1	1	Chord	6/4	1	1	0	grace8after	1/8	1	197											
23	21	127	127	0.0	1	1	Chord	6/4	1	1	0	grace8after	1/8	1	198											
23	21	127	127	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	199	ornamentShortTrill										
23	21	123	123	0.0	0	0	FiguredBass	6/4	2	1	0												3/2	#3_		
23	21	123	123	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	200											
23	21	125	125	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	201											
23	21	126	126	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	202											
23	21	127	127	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	203											
24	22	129	129	1.0	0	0	Chord	6/4	1	1	1/4		1/4	1	204											
24	22	130	130	1.0	1/4	1/4	Chord	6/4	1	1	1/4		1/4	1	205											
24	22	131	131	1.5	1/2	1/2	Chord	6/4	1	1	3/8		1/4	3/2	206											
24	22	265/2	265/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8		1/8	1	207											
24	22	133	133	1.5	1	1	Chord	6/4	1	1	3/8		1/4	3/2	208	ornamentShortTrill										
24	22	269/2	269/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8		1/8	1	209											
24	22	129	129	0.0	0	0	FiguredBass	6/4	2	1	0												1/4	5/		
24	22	129	129	1.0	0	0	Chord	6/4	2	1	1/4		1/4	1	210											
24	22	130	130	1.0	1/4	1/4	Chord	6/4	2	1	1/4		1/4	1	211											
24	22	131	131	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	212											
24	22	132	132	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	6	5	h3
24	22	132	132	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	213											
24	22	133	133	0.0	1	1	FiguredBass	6/4	2	1	0												1/4	#3		
24	22	133	133	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	214											
24	22	134	134	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7		
25	23	135	135	3.0	0	0	Chord	6/4	1	1	3/4		1/2	3/2	215											
25	23	279/2	279/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8		1/8	1	216											
25	23	140	140	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	217											
25	23	135	135	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	_		
25	23	135	135	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	218											
25	23	273/2	273/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	219											
25	23	137	137	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	220											
25	23	138	138	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/2	6		
25	23	138	138	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	221											
25	23	140	140	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	#6		
25	23	140	140	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	222											
26	24	141	141	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	223	ornamentShortTrill										
26	24	285/2	285/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	224											
26	24	143	143	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	225											
26	24	144	144	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	226											
26	24	145	145	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	227											
26	24	141	141	3.0	0	0	Chord	6/4	2	1	3/4		1/2	3/2	228											
26	24	144	144	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/2	5/		
26	24	144	144	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	229											
26	24	146	146	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7		
26	24	146	146	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	230											
27	25	147	147	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	231	ornamentShortTrill										
27	25	297/2	297/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	232											
27	25	149	149	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	233											
27	25	303/2	303/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8		1/8	1	234											
27	25	152	152	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	235											
27	25	147	147	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	_		
27	25	147	147	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	236											
27	25	297/2	297/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	237											
