mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur	TextLine
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	24											0	
2	2	15/2	15/2	0.375	7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	25	ornamentShortTrill										0	
2	2	63/8	63/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	26												
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	#3_				
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	27												
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	28												
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	6				
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	29												
2	2	11/2	11/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	#6				
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	30												
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	31												
2	2	13/2	13/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	5/				
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	32												
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	5	4			
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	33												
2	2	15/2	15/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	3				
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	34												
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	35	ornamentShortTrill											
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	36												
3	3	9	9	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	37	ornamentMordent											
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	38												
3	3	10	10	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	39	ornamentShortTrill											
3	3	43/4	43/4	0.0	11/16	11/16	Chord	4/4	1	1	0	appoggiatura	1/8	1	40												
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	41												
3	3	11	11	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	42	ornamentMordent											
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	43												
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	#3_				
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	44												
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	45												
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	5/_				
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	46												
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	47												
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	#3_				
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	48												
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	49												
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	6				
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	50	ornamentShortTrill											
3	3	23/2	23/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	#6				
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	51												
4	4	12	12	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	52												
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	53	ornamentMordent											
4	4	25/2	25/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	54												
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	55												
4	4	13	13	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	56	ornamentMordent											
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	57												
4	4	14	14	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	58												
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	59												
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	60	ornamentMordent											
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	61												
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	62											1	
4	4	31/2	31/2	0.375	7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	63	ornamentShortTrill											
4	4	127/8	127/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	64												
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	65												
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	66												
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	67												
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	5/_				
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	68												
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	69												
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	_				
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	70												
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	71												
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	7				
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	72												
4	4	31/2	31/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	#6				
5	5	16	16	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	73												
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	74	ornamentMordent											
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	75												
5	5	18	18	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	76	ornamentMordent										2	
5	5	75/4	75/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	77											2	
5	5	151/8	151/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	78											2	
5	5	19	19	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	79	ornamentShortTrill										2	
5	5	79/4	79/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	80											2	
5	5	159/8	159/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	81												
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	82												
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	83												
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	6_				
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	84												
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	85												
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	86												
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	87												
5	5	19	19	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	6	5_			
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	88												
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	89												
6	6	20	20	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	90												
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	91	ornamentMordent											
6	6	21	21	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	92											3	
6	6	21	21	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	93											3	
6	6	21	21	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	94											3	
6	6	21	21	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	95											3	
6	6	21	21	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	96	ornamentShortTrill										3	
6	6	87/4	87/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	97											3	
6	6	175/8	175/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	98												
6	6	22	22	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/8	1	99												
6	6	22	22	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	100	ornamentMordent											
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	101												
6	6	23	23	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	102	ornamentMordent											
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	103												
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	104												
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	105												
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/4	6_				
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	106												
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	107												
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/8	5				
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	108												
6	6	45/2	45/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	6				
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	109												
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	5/				
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	110												
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	111												
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	112											4	
7	7	25	25	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	113	ornamentShortTrill											
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	114												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	115												
7	7	24	24	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	116											5	
7	7	25	25	0.75	1/4	1/4	Chord	4/4	1	2	3/16		1/8	3/2	117												
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	118												
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	119												
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	6	4_			
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	120												
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	121												
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	3				
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	122												
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	123												
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	124											6	
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	125												
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	126											7	
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	127												
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	128												
8	8	29	29	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	129	ornamentShortTrill											
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	130												
8	8	30	30	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	131	ornamentShortTrill											
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	132												
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	133												
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	134												
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	135												
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	136												
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	6				
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	137												
8	8	59/2	59/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	6				
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	138												
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	7_				
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	139												
8	8	61/2	61/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	_	#6			
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	140												
8	8	31	31	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	6_				
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	141												
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	142												
9	9	32	32	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	143												
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	144												
9	9	33	33	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	145												
9	9	33	33	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	146	ornamentMordent											
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	147												
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	148	ornamentShortTrill											
9	9	69/2	69/2	0.0	5/8	5/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	149												
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	150												
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	151												
9	9	32	32	0.75	0	0	Chord	4/4	1	2	3/16		1/8	3/2	152												
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	153												
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	154												
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	155												
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	156												
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0											1/8	6	4			
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	157												
9	9	65/2	65/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0											1/8	6	5	b3		
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	158												
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	6	4			
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	159												
9	9	67/2	67/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	7	#3			
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	160												
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	161											8	
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	162												
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	163												
9	9	71/2	71/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	4+				
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	164												
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	165	ornamentMordent											
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	166												
10	10	37	37	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	167												
10	10	37	37	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	168	ornamentMordent											
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	169												
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	170	ornamentShortTrill											
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	171												
10	10	39	39	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	172												
10	10	39	39	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	173	ornamentMordent											
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	174												
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0											1/8	#6				
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	175												
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	176												
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	5/				
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	177												
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	178												
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/8	4+				
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	179												
10	10	77/2	77/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	6				
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	180												
10	10	39	39	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	#6				
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	181												
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	182												
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	183	ornamentShortTrill											
11	11	81/2	81/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	184												
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	185												
11	11	41	41	0.0	1/4	1/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	186												
11	11	41	41	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	187	ornamentMordent											
11	11	167/4	167/4	0.08333333333333333	7/16	7/16	Chord	4/4	1	1	1/48		1/32	2/3	188												
11	11	251/6	251/6	0.08333333333333333	11/24	11/24	Chord	4/4	1	1	1/48		1/32	2/3	189												
11	11	503/12	503/12	0.08333333333333333	23/48	23/48	Chord	4/4	1	1	1/48		1/32	2/3	190												
11	11	42	42	0.0	1/2	1/2	Spanner	4/4	1	1	0																0
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	191											9	0
11	11	43	43	0.0	3/4	3/4	Spanner	4/4	1	1	0																
11	11	43	43	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	192	ornamentShortTrill											
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	193												
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	194											10	
11	11	43	43	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	195												
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	196												
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0											1/4	4+				
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	197												
11	11	41	41	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	6				
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	198												
11	11	83/2	83/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	6	5			
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	199												
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	6	4_			
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	200												
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	201												
11	11	43	43	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/4	#3				
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	202												
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	203												
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	204												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	205	ornamentMordent											
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	206												
12	12	47	47	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	207												
12	12	47	47	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	208	ornamentMordent											
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	209												
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	210												
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	211												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	212												
12	12	91/2	91/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	4+				
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	213												
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/8	6				
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	214												
12	12	93/2	93/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0											1/8	#6				
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	215												
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	216												
12	12	95/2	95/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0											1/8	6				
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	217												
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	218	ornamentShortTrill											
13	13	97/2	97/2	0.0	1/8	1/8	Chord	4/4	1	1	0	appoggiatura	1/8	1	219												
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	220												
13	13	49	49	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	221	ornamentMordent											
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	222												
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	223											11	
13	13	51	51	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	224	ornamentShortTrill											
