mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
10	10	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	112										
10	10	36	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	7	#3_			
10	10	36	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	113										
10	10	73/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	114										
10	10	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	115										
10	10	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	116										
10	10	38	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	5_				
10	10	38	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	117										
10	10	77/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	118										
10	10	39	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	119										
10	10	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	120										
11	11	40	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	121										
11	11	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	122	ornamentShortTrill									
11	11	40	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	123										13
11	11	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	124	ornamentShortTrill									
11	11	40	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	6	5_			
11	11	40	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	125										
11	11	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	126										
11	11	41	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	127										
11	11	83/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	128										
11	11	42	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	#3_				
11	11	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	129										
11	11	43	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	7				
11	11	43	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	130										
12	12	44	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	131										
12	12	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	132										
12	12	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	133										
12	12	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	134										
12	12	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	135										
12	12	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	136										
12	12	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	137										
12	12	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	138										
12	12	44	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	139										
12	12	44	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	140										
13	13	48	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	141										
13	13	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	142	ornamentShortTrill									
13	13	48	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	143										
13	13	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	144										
13	13	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	145										
13	13	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	146										
13	13	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	147										
13	13	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	148										
13	13	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	149										
13	13	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	150										
14	14	52	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	151										
14	14	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	152										
14	14	52	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	153										
14	14	52	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	_				
14	14	52	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	154										
14	14	105/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	155										
14	14	53	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	156										
14	14	107/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	157										
14	14	54	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	6_				
14	14	54	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	158										
14	14	109/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	159										
14	14	55	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	160										
14	14	111/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	161										
15	15	56	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	162										
15	15	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	163										
15	15	56	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	164										
15	15	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	165	ornamentShortTrill									
15	15	56	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	5	4_			
15	15	56	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	166										
15	15	113/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	167										
15	15	57	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	168										
15	15	115/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	169										
15	15	58	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	5/_				
15	15	58	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	170										
15	15	117/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	171										
15	15	59	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	172										
15	15	119/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	173										
16	16	60	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	174										
16	16	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	175										
16	16	60	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	176										
16	16	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	177	ornamentShortTrill									
16	16	60	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	3	2_			
16	16	60	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	178										
16	16	121/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	179										
16	16	61	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	180										
16	16	123/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	181										
16	16	62	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	6_				
16	16	62	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	182										
16	16	125/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	183										
16	16	63	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	184										
16	16	127/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	185										
17	17	64	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	186	ornamentShortTrill									
17	17	64	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	187										
17	17	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	188										
17	17	64	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	#3_				
17	17	64	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	189										
17	17	129/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	190										
17	17	65	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	191										
17	17	131/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	192										
17	17	66	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	6_				
17	17	66	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	193										
17	17	133/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	194										
17	17	67	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	195										
17	17	135/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	196										
18	18	68	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	197										
18	18	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	198										
18	18	68	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	199										
18	18	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	200										
18	18	68	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	#3	2_			
18	18	68	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	201										
18	18	137/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	202										
18	18	69	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	203										
18	18	139/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	204										
18	18	70	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	#5_				
18	18	70	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	205										
18	18	141/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	206										
18	18	71	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	207										
18	18	143/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	208										
19	19	72	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	209										
19	19	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	210										
19	19	74	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	211										
19	19	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	212										
19	19	72	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	213										
19	19	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	214										
19	19	72	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	7	#3_			
19	19	72	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	215										
19	19	145/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	216										
19	19	73	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	217										
19	19	147/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	218										
19	19	74	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	_				
19	19	74	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	219										
19	19	149/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	220										
19	19	75	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	221										
19	19	151/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	222										
20	20	76	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	223										
20	20	153/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	224										
20	20	77	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	225										
20	20	155/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	226										
20	20	78	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	227										
20	20	157/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	228										
20	20	79	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	229										
20	20	159/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	230										
20	20	76	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	231										
20	20	77	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	232										
20	20	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	233										
20	20	76	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	7_				
20	20	76	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	234										
20	20	153/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	235										
20	20	77	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	236										
20	20	155/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	237										
20	20	78	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	5	4			
20	20	78	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	238										
20	20	79	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	h3				
20	20	79	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	239										
21	21	80	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	240	ornamentShortTrill									
21	21	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	241										
21	21	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	242										
21	21	80	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	243										
21	21	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	244										
21	21	80	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	7	#5	3	2_	
21	21	80	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	245										
21	21	161/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	246										
21	21	81	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	247										
21	21	163/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	248										
21	21	82	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	3_				
21	21	82	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	249										
21	21	165/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	250										
21	21	83	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	251										
21	21	167/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	252										
22	22	84	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	253										
22	22	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	254										
22	22	84	4.0	0	0	Chord	4/4	2	1	1			1	1	255										
22	22	84	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	8	7	h3	2_	
22	22	84	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	256										
22	22	169/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	257										
22	22	85	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	258										
22	22	171/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	259										
22	22	86	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	6_				
22	22	86	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	260										
22	22	173/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	261										
22	22	87	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	262										
22	22	175/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	263										
23	23	88	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	264										
23	23	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	265										
23	23	88	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	266	ornamentShortTrill									
23	23	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	267										
23	23	88	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	7	#3_			
23	23	88	0.5	0	0	Chord	4/4	3	1	1/8			1/8	1	268										
23	23	177/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	269										
23	23	89	0.5	1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	270										
23	23	179/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	271										
23	23	90	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	5_				
23	23	90	0.5	1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	272										
23	23	181/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	273										
23	23	91	0.5	3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	274										
23	23	183/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	275										
24	24	92	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	276										
24	24	187/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	277										
