mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur	TextLine
4	3	27/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	36										
4	3	55/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	37										
4	3	14	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	38	ornamentShortTrill									
4	3	57/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	39										
4	3	21/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	_				
4	3	21/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	40										
4	3	11	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	41										
4	3	23/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	6_				
4	3	23/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	42										
4	3	12	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6	4			
4	3	12	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	43										
4	3	25/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	4+				
4	3	25/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	44										
4	3	13	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	45										
4	3	53/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	46										
4	3	27/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	6	4	3_		
4	3	27/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	47										
4	3	14	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	48										
5	4	29/2	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	49	ornamentMordent									
5	4	16	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	50										
5	4	65/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	51										
5	4	33/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	52										
5	4	17	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	53										
5	4	35/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	54										
5	4	18	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	55										
5	4	73/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	56										
5	4	29/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	6_				
5	4	29/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	57	ornamentShortTrill									
5	4	15	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	58										
5	4	61/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	59										
5	4	31/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	60										
5	4	16	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6	4			
5	4	16	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	61										
5	4	33/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	5/				
5	4	33/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	62										
5	4	17	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	7				
5	4	17	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	63										
5	4	35/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	64										
5	4	18	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	65										
6	5	37/2	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	66										
6	5	37/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	67	ornamentMordent									
6	5	19	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	68										
6	5	77/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	69										
6	5	39/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	70										
6	5	20	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	71										
6	5	81/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	72										
6	5	41/2	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura		1/8	1	73										
6	5	41/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	74	ornamentMordent									
6	5	21	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	75										
6	5	85/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	76										
6	5	43/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	77	ornamentShortTrill									
6	5	89/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	78										
6	5	37/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	79										
6	5	19	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	80										
6	5	39/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	#3_				
6	5	39/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	81										
6	5	20	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	82										
6	5	41/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	6_				
6	5	41/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	83										
6	5	21	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	84										
6	5	43/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	6	5			
6	5	43/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	85										
6	5	22	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	6	4	3		
6	5	22	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	86										
7	6	45/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	87	ornamentShortTrill									
7	6	23	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	88										
7	6	93/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	89										
7	6	47/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	90										
7	6	95/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	91										
7	6	24	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	92										
7	6	97/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	93										
7	6	49/2	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura		1/8	1	94										
7	6	49/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	95	ornamentMordent								4	
7	6	101/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	96									4	
7	6	51/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	97	ornamentShortTrill								4	
7	6	105/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32			1/32	1	98									4	
7	6	211/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32			1/32	1	99										
7	6	45/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	#3				
7	6	45/2	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	100										
7	6	24	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	101										
7	6	49/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/4	6_				
7	6	49/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	102										
7	6	25	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	103										
7	6	51/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	#6	4	3_		
7	6	51/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	104										
7	6	26	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	105										
8	7	53/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	106									5	
8	7	27	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	107									5	
8	7	109/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	108										
8	7	55/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	109									6	
8	7	28	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	110									6	
8	7	113/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	111										
8	7	57/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	112									7	
8	7	29	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	113									7	
8	7	117/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	114										
8	7	59/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	115	ornamentShortTrill									
8	7	30	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	116										
8	7	53/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	_				
8	7	53/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	117										
8	7	27	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	118										
8	7	55/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	119										
8	7	28	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	7	3			
8	7	28	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	120										
8	7	57/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	121										
8	7	29	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	122										
8	7	59/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	6				
8	7	59/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	123										
8	7	30	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	#6				
8	7	30	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	124										
9	8	61/2	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	125	ornamentMordent									
9	8	63/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	126									8	
9	8	32	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	127	ornamentShortTrill									
9	8	129/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	128										
9	8	65/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	129									9	
9	8	33	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	130	ornamentShortTrill									
9	8	133/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	131										
9	8	67/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	132									10	
9	8	34	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	133	ornamentShortTrill									
9	8	137/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	134										
9	8	61/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/8	#3				
9	8	61/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	135										
9	8	31	0.0	1/8	1/8	FiguredBass	4/4	2	1	0										1/8	3_				
9	8	31	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	136										
9	8	125/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	137										
9	8	63/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	138										
9	8	32	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6				
9	8	32	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	139										
9	8	65/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	6	5			
9	8	65/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	140										
9	8	33	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	3				
9	8	33	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	141										
9	8	67/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	#3				
9	8	67/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	142										
9	8	34	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	#5				
9	8	34	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	143										
10	9	69/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	144									11	
10	9	35	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	145	ornamentShortTrill									
10	9	141/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	146										
10	9	71/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	147										
10	9	143/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	148										
10	9	36	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	149										
10	9	145/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	150										
10	9	73/2	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	151	ornamentTurn									
10	9	149/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	152										
10	9	75/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	153	ornamentShortTrill									
10	9	153/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	154										
10	9	69/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/8	5				
10	9	69/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	155										
10	9	35	0.0	1/8	1/8	FiguredBass	4/4	2	1	0										1/8	5				
10	9	35	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	156										
10	9	71/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/8	5/				
10	9	71/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	157										
10	9	36	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	#3				
10	9	36	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	158										
10	9	73/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	159										
10	9	37	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	6	5			
10	9	37	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	160										
10	9	75/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	#3_				
10	9	75/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	161										
10	9	38	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	7				
10	9	38	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	162										
11	10	77/2	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	163										
11	10	77/2	1.5	0	0	Chord	4/4	2	1	3/8			1/4	3/2	164	ornamentMordent									
12	10	40	0.0	0	3/8	StaffText	4/4	1	1	0							"<font size=""12""/><font face=""SnellRoundhand BoldScript""/>Reprise"								
12	10	40	0.25	0	3/8	Chord	4/4	1	1	1/16			1/16	1	165										
12	10	161/4	0.25	1/16	7/16	Chord	4/4	1	1	1/16			1/16	1	166										
12	10	81/2	0.5	1/8	1/2	Chord	4/4	1	1	1/8			1/8	1	167										
12	10	41	0.5	1/4	5/8	Chord	4/4	1	1	1/8			1/8	1	168										
12	10	83/2	0.5	3/8	3/4	Chord	4/4	1	1	1/8			1/8	1	169										
12	10	42	0.5	1/2	7/8	Chord	4/4	1	1	1/8			1/8	1	170										
13	11	85/2	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	171										
13	11	171/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	172										
13	11	43	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	173										
13	11	173/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	174										
13	11	87/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	175										
13	11	44	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	176	ornamentTurn									
13	11	89/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	177										
13	11	179/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	178										
13	11	45	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	179										
13	11	181/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	180										
13	11	91/2	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura		1/8	1	181										
13	11	91/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	182	ornamentMordent									
13	11	185/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	183										
13	11	44	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	184										
13	11	177/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	185										
13	11	89/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	7				
13	11	89/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	186										
13	11	45	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	5				
13	11	45	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	187										
13	11	91/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	5/				
13	11	91/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	188										
13	11	46	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	3				
13	11	46	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	189										
14	12	93/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	190										
14	12	47	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	191										
14	12	189/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	192										
14	12	95/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	193										
14	12	191/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	194										
14	12	48	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	195										
14	12	193/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	196										
14	12	97/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	197										
14	12	49	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	198										
14	12	99/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	199	ornamentShortTrill									
14	12	201/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	200										
14	12	93/2	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	6_				
14	12	93/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	201										
14	12	47	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	202										
14	12	95/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/8	5				
14	12	95/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	203										
14	12	48	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6	5			
14	12	48	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	204										
14	12	97/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	205										
14	12	49	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	206										
14	12	99/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	3_				
14	12	99/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	207										
14	12	50	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	b7				
14	12	50	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	208										
15	13	101/2	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	209										
15	13	52	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	210										
15	13	105/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	211									12	
15	13	53	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	212										
15	13	107/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	213									13	
15	13	54	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	214	ornamentShortTrill									
15	13	217/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	215										
15	13	101/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	216										
15	13	51	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	217										
15	13	205/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	218										
15	13	103/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	219										
15	13	52	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6				
15	13	52	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	220										
15	13	105/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	7	3	2		
15	13	105/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	221										
15	13	53	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	5				
15	13	53	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	222										
15	13	107/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	7	#3_			
15	13	107/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	223										
15	13	54	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	224										
16	14	109/2	0.0	0	0	Spanner	4/4	1	1	0															0
16	14	109/2	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	225	ornamentMordent									0
16	14	55	0.0	1/8	1/8	Spanner	4/4	1	1	0															
16	14	55	1.0	1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	226	ornamentMordent									
16	14	56	0.0	3/8	3/8	Spanner	4/4	1	1	0															
16	14	56	0.0	3/8	3/8	Spanner	4/4	1	1	0															
16	14	56	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	227	ornamentMordent									
16	14	113/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	228										
16	14	57	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	229										
16	14	229/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	230										
16	14	115/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	231	ornamentShortTrill									
16	14	233/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	232										
16	14	109/2	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	233										
16	14	55	0.0	1/8	1/8	FiguredBass	4/4	2	1	0										1/8	b6	4	3		
16	14	55	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	234										
16	14	111/2	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/8	b7				
16	14	111/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	235										
16	14	56	0.0	3/8	3/8	FiguredBass	4/4	2	1	0										1/8	6	4	3		
16	14	56	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	236										
16	14	113/2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0										1/8	7				
16	14	113/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	237										
16	14	57	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	6_				
16	14	57	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	238										
16	14	229/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	239										
16	14	115/2	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/8	6	5	b3		
16	14	115/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	240										
16	14	58	0.0	7/8	7/8	FiguredBass	4/4	2	1	0										1/8	6	4+	3		
